,context,n_concepts,mean_tfidf,mean_diff,evidence
0,salmon,13,0.06,0.06,i
1,lamb,12,0.02,0.01,u
2,smoked,11,0.07,0.07,u
3,roasted,11,0.05,0.04,u
4,wrapped,11,0.01,0,u
5,dish,11,0.01,0.01,u
6,fried,11,0.08,0.08,u
7,baked,11,0.02,0.01,u
8,grilled,11,0.06,0.06,u
9,fish,11,0.05,0.05,i
10,tuna,11,0.04,0.04,i
11,shrimp,11,0.05,0.05,i
12,salt,10,0.01,0.01,u
13,tomatoes,10,0.01,0.01,u
14,warm,10,0.01,0.01,u
15,add,10,0.01,0.01,u
16,raw,10,0,0,u
17,cooked,10,0.03,0.03,u
18,spinach,10,0.01,0.01,u
19,meal,10,0.01,0.01,u
20,eggs,9,0.07,0.06,p
21,egg,8,0.07,0.07,p
