,food,female,fish,communication,plant,fruit,vehicle,all,relation,vegetable,bird,object,blue,measure,animal,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.0009303172839483537,0.0,0.0010070054509686832,0.0,0.0,0.0,0.0,0.000940134934673643,0.0,0.0,0.0,0.0009677100094031946,0.0,0.0,0.0010493034928468214,0.00032629807812271304
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0008389624890404269,0.0,0.0,0.0,0.0007809045723492859,0.0,0.0,0.0006182910230501502,0.0,0.0,0.0,0.0006243696204137004,0.0,0.0,0.0,0.00019083518032357092
water,0.001076752628551474,0.0,0.0,0.0,0.0,0.0,0.0,0.0010541815373581293,0.000911395241837974,0.0,0.0,0.0010485402684765237,0.0,0.0,0.0,0.0002727246450816067
iceberg,0.0010455824935903795,0.0,0.0,0.0,0.0,0.0,0.0,0.0010125412524825516,0.0,0.0012032854100948217,0.0,0.0010235731730109169,0.0,0.0,0.0,0.00028566548861191134
bird,0.0002339213772057525,0.00022068429384108803,0.0,0.00025087906073923387,0.0,0.0,0.0,0.00024203918298429863,0.0,0.0,0.00042541255036527577,0.00024855891853591016,0.0,0.0,0.00030560848193516644,0.00012847359104044834
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0009461693121039982,0.0,0.0,0.0,0.0009784009726536917,0.0,0.0,0.0007386627975056,0.0,0.0007682488168231367,0.0,0.0007300888025050963,0.0,0.0008364823153596448,0.0,0.0003332035344634112
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0010216523063205536,0.0,0.0,0.0,0.0010817789974895825,0.00164621548837126,0.0,0.0009712532698326938,0.0,0.0,0.0,0.0009522361248193627,0.0,0.0,0.0,0.0003782090791222302
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.00015081601982806894,0.0,0.0,0.0,0.00015677702664630694,0.00020363515402933806,0.0,0.00010435547420412326,0.0,0.0,0.0,0.00010652659388874507,0.0,0.0,0.0,4.814068457310548e-05
broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.003161712268353141,0.0,0.0,0.0,0.0,0.0,0.0,0.0029919050612940796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041024115530981475
apple,0.0002116140850272864,0.0,0.0,0.0,0.000219735086691897,0.0,0.0,0.00018008488643828083,0.0,0.0,0.0,0.00017999964719891316,0.0,0.0,0.0,5.276224702375849e-05
cherry,0.0014628379713904794,0.0,0.0,0.0,0.0016031204845165289,0.0019186193102261272,0.0,0.0011833139444161211,0.0012728453199728886,0.0,0.0,0.0011811877996932344,0.0,0.0,0.0,0.0005747949886810253
