,food,female,fish,communication,plant,fruit,vehicle,all,relation,vegetable,bird,object,blue,measure,animal,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.002272918987290612,0.0,0.003641250670976406,0.0,0.0,0.0,0.0,0.0021628788388558086,0.0,0.0,0.0,0.0022024116677355583,0.0,0.0,0.002520524639211745,0.000853332320271342
currant,0.019828334479608835,0.0,0.0,0.0,0.018433362558313217,0.019569711400488243,0.0,0.014371508949542361,0.0,0.0,0.0,0.01429998059955092,0.0,0.0,0.0,0.0057668598658335716
cheese,0.0002484514078076926,0.0,0.0,0.0,0.0002236197833024341,0.0,0.0,0.00017241736081200626,0.0,0.0,0.0,0.0001722428017179936,0.0,0.0,0.0,5.444875690934177e-05
water,0.004304756868043129,0.0,0.0,0.0,0.0,0.0,0.0,0.00396859907084468,0.004304386011105742,0.0,0.0,0.0039049744787353928,0.0,0.0,0.0,0.0010988477619152629
iceberg,0.0013933805224585,0.0,0.0,0.0,0.0,0.0,0.0,0.0012706129926048438,0.0,0.0014310929480288563,0.0,0.0012706640008314657,0.0,0.0,0.0,0.000357716697594911
bird,0.0001558659851246778,0.00016551322038081603,0.0,0.0001538325533027233,0.0,0.0,0.0,0.0001518644943429654,0.0,0.0,0.0,0.0001542805527718796,0.0,0.0,0.00020020909469623498,6.543772670795314e-05
blueberry,0.003184634874931975,0.0,0.0,0.0,0.002936099024985342,0.003183845990171322,0.0,0.002381982427051688,0.0,0.0,0.0,0.002348146767771221,0.0,0.0,0.0,0.0009356472723274364
egg,0.0039625917567637425,0.0,0.0,0.0,0.0,0.0,0.0,0.0033140365269838756,0.0,0.0,0.0,0.0034304690108893582,0.0,0.0,0.0,0.0007138064863091317
lettuce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0007708981457935124,0.0,0.0,0.0,0.0007068049689012513,0.0,0.0,0.0006894519309286925,0.0,0.0007682488168231367,0.0,0.00068904532739804,0.0,0.0009654266329358132,0.0,0.00030599172151869644
ketchup,0.006947363313638832,0.0,0.0,0.0,0.0,0.0,0.0,0.006621120416951568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00090456558203936
strawberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0003686352597387036,0.0,0.0,0.0,0.0003397710689390191,0.0003608106070766866,0.0,0.0002922094497082074,0.0,0.0,0.0,0.0003016139331714624,0.0,0.0,0.0,0.00011086935457560527
broccoli,0.0015456319706611758,0.0,0.0,0.0,0.0015028636365984592,0.0,0.0,0.001197210404475721,0.0,0.00179655806821563,0.0,0.0012104995931556547,0.0,0.0,0.0,0.00048351757820710935
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0008620703698821456,0.0,0.0,0.0,0.0007936922358863621,0.0008450775032895421,0.0,0.0008404367534497751,0.0,0.0,0.0,0.0008494029453002128,0.0,0.0,0.0,0.00027937865385386915
cherry,0.0023837151877893767,0.0,0.0,0.0,0.0023162150404049653,0.0022663349438902473,0.0,0.0022089594511258896,0.0018764189987581438,0.0,0.0,0.002229569694441421,0.0,0.0,0.0,0.000885414221094003
heart,0.00026094856533070965,0.0,0.0,0.0,0.0,0.0,0.0,0.00026835038028623576,0.00022180109902807278,0.0,0.0,0.00027191168187171594,0.0,0.0,0.0,6.820078176778227e-05
salad,0.0012122851537519485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010585711260694462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015139041865475965
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice,4.24789315779677e-05,0.0,0.0,0.0,3.964180843565572e-05,0.0,0.0,4.075045951251648e-05,0.0,0.0,0.0,4.058477742623724e-05,0.0,0.0,0.0,1.0897065130158476e-05
avocado,0.0018027046794683145,0.0,0.0,0.0,0.0016373535956328538,0.0016111844228942286,0.0,0.001536842816450127,0.0,0.0,0.0,0.0015533182562027905,0.0,0.0,0.0,0.0005427602513765543
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.0008082128775827387,0.0,0.0,0.0,0.0,0.0,0.0,0.0007818800574427169,0.0006584260545477596,0.0,0.0,0.0,0.0,0.0,0.0,0.00014990126597154768
cider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
