,food,female,fish,communication,plant,fruit,vehicle,all,relation,vegetable,bird,object,blue,measure,animal,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.009741555338737981,0.0,0.018868298931423198,0.0,0.0,0.0,0.0,0.009355704972635215,0.0,0.0,0.0,0.009538519123375886,0.0,0.0,0.010086030905462975,0.003839340618109017
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.017467170620380296,0.0,0.0,0.0,0.016589213246102914,0.0,0.0,0.012233819674976257,0.0,0.0,0.0,0.01223658670765796,0.0,0.0,0.0,0.003901786016607829
water,0.0009890273503710952,0.0,0.0,0.0,0.0,0.0,0.0,0.0009202310471122694,0.0009479172611082901,0.0,0.0,0.0009066005624518034,0.0,0.0,0.0,0.00025091841473623053
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.0005156719575322284,0.0006620528815232641,0.0,0.0006153302132108931,0.0,0.0,0.0,0.0005070822348674973,0.0,0.0,0.0010062004231501556,0.000515788271650029,0.0,0.0,0.0006184305995222441,0.0002960371054304208
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0014771285627476133,0.0,0.0,0.0,0.0,0.0,0.0,0.0008591024704898135,0.0,0.0,0.0,0.0008676030155904799,0.0,0.0,0.0,0.00021358893658852713
lettuce,0.0008095275960378508,0.0,0.0,0.0,0.0005766652821862543,0.0,0.0,0.0004231867128168132,0.0,0.001002797533582072,0.0,0.00042007919114111304,0.0,0.0005337828998712077,0.0,0.0002510692810423541
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0021073534932363543,0.0,0.0,0.0,0.0015679346721477216,0.0,0.0,0.001310669204667788,0.0,0.0021594938127805986,0.0,0.0012779585575316446,0.0,0.0016729646307192896,0.0,0.0006730916247388931
ketchup,0.00158262913067338,0.0,0.0,0.0,0.0,0.0,0.0,0.00104891269929993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017543612199822067
strawberry,0.0014221705150014362,0.0,0.0,0.0,0.0010835018343531688,0.002057769360464075,0.0,0.0010771083190812738,0.0,0.0,0.0,0.0010417553833247406,0.0,0.0,0.0,0.0004454870274816462
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.000503856966435439,0.0,0.0,0.0,0.0003768641018542497,0.0006109054620880141,0.0,0.00027774954994293823,0.0,0.0,0.0,0.0002796986581585115,0.0,0.0,0.0,0.00013660498256527683
broccoli,0.0010562980824392425,0.0,0.0,0.0,0.000833466128214908,0.0,0.0,0.000568983397631707,0.0,0.0012624998397836376,0.0,0.0005612723330566205,0.0,0.0,0.0,0.000285501318741741
raisin,0.0030134126441656037,0.0,0.0,0.0,0.0,0.004133551687516535,0.0,0.0015331832734491071,0.0,0.0,0.0,0.0015219630761897217,0.0,0.0,0.0,0.0006801407120880646
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.00027084294647930843,0.0,0.0,0.0,0.0,0.0,0.0,0.00020418382225338393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.166845124884615e-05
