,context,n_concepts,mean_tfidf,mean_diff,evidence
0,box,12,0.01,0.0,-
1,rival,11,0.0,0.0,-
2,candy,11,0.02,0.02,-
3,grapes,11,0.02,0.02,-
4,45,11,0.0,0.0,-
5,handed,11,0.0,0.0,-
6,distributed,11,0.0,0.0,-
7,750,11,0.0,0.0,-
8,flowing,11,0.0,0.0,-
9,25,11,0.01,0.01,-
10,buy,11,0.01,0.0,-
11,bought,11,0.0,0.0,-
12,caramel,11,0.01,0.01,-
13,syrup,11,0.05,0.04,-
14,excellent,10,0.0,0.0,-
15,shoppers,10,0.0,0.0,-
16,72,10,0.0,0.0,-
17,yeast,10,0.0,0.0,-
18,expand,10,0.0,0.0,-
19,took,10,0.0,0.0,-
20,sweet,9,0.03,0.02,-
