,animal,no-cat,all,object,communication,measure,vehicle,mean
scooter,0.011983204436695693,0.011983204436695693,0.009634466197009197,0.009635921469206011,0.0,0.0,0.009772493746820977,0.00757275575520394
racer,0.004519257905128082,0.004519257905128082,0.0044575189081427526,0.004457538107793975,0.0,0.0,0.004301825622290289,0.0031793426354975976
cat,0.0018328978569524981,0.001415418021492388,0.0015336953440513894,0.0015508194642481772,0.0,0.0,0.001555396646100325,0.0011268896189778257
hack,0.0029442359880346622,0.002079910084612088,0.0023257838322432315,0.0023632558363316843,0.0,0.0,0.002390476064742732,0.0017290945437091997
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.0020985855600862816,0.0016180500923573232,0.0016183580641376185,0.0,0.0,0.0017517142490741998,0.001012386852236489
sidecar,0.0,0.0057381078916233725,0.004958834450892402,0.004961206303593427,0.0,0.0,0.0,0.0022368783780156
carrier,0.0,0.001053951548872659,0.0011200834365602114,0.0011202106007683027,0.0,0.0,0.0011635859220744853,0.0006368330726108084
suv,0.0,0.03125930830372791,0.02525766738844767,0.0,0.0,0.0,0.0,0.008073853670310797
wheelbase,0.0,0.01713538110754917,0.016851500010668284,0.0,0.0,0.0,0.0,0.004855268731173922
bus,0.0,0.0,0.010093620651791863,0.010093962907668756,0.012869277887321305,0.0,0.00979494979428397,0.006121687320152271
truck,0.0,0.0,0.037997496287845725,0.03799863820042599,0.0,0.0,0.035939234290620306,0.01599076696841315
undercarriage,0.0,0.0,0.001075504088386321,0.0010755187699507463,0.0,0.0,0.0,0.00030728897976243813
bicycle,0.0,0.0,0.008788063809807333,0.008787973957630726,0.0,0.0,0.008663536439398937,0.0037485106009767137
hearse,0.0,0.0,0.005993946789107433,0.005968488282937582,0.0,0.0,0.006259171176000779,0.002603086606863685
tram,0.0,0.0,0.002117831373678918,0.0021177930276367017,0.0,0.0,0.002031159815773366,0.0008952548881555694
tank,0.0,0.0,0.005201277723663593,0.005200861846661856,0.0,0.0065403396751410265,0.005300059451011864,0.003177505528068334
wagon,0.0,0.0,0.017324909067505598,0.017329039755496715,0.0,0.0,0.01641592517355716,0.007295696285222781
coupe,0.0,0.0,0.007978867325525909,0.007978872658633208,0.0,0.0,0.007864495240306744,0.00340317646063798
garage,0.0,0.0,0.009076870999450535,0.009074934506116634,0.0,0.0,0.0,0.002593115072223882
caravan,0.0,0.0,0.005413953038532446,0.005414391099457551,0.0,0.0,0.005431551949150009,0.002322842298162858
minivan,0.0,0.0,0.05177287753029421,0.05176482969282901,0.0,0.0,0.046075453153961735,0.02137330862529785
vehicle,0.0,0.0,0.0774068005201552,0.07740549853797254,0.0,0.0,0.07718184571825039,0.033142020682339735
trailer,0.0,0.0,0.0055117557980099985,0.005510929784681154,0.0070367054945944234,0.0,0.005816047041669401,0.003410776874136425
motorbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coach,0.0,0.0,0.0007547017949126022,0.0007547270019012863,0.0,0.0,0.0007573249927819937,0.00032382196994226893
unicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chassis,0.0,0.0,0.033689301504047045,0.03366014968927234,0.0,0.0,0.0,0.0096213501704742
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.006680214677127181,0.006680225492748441,0.0,0.0,0.006572017809854181,0.0028474939971042577
