,animal,no-cat,all,object,communication,measure,vehicle,mean
cab,0.0,0.0,0.00718938353767584,0.007189385570562757,0.0,0.0,0.007365282844138197,0.003106293136053828
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplane,0.0,0.0,0.0015460384410513387,0.0015458490291082633,0.0,0.0,0.001580817835406562,0.0006675293293665948
snowmobile,0.0,0.0,0.014873264946120887,0.01486353903119872,0.0,0.0,0.015210448466930808,0.006421036063464345
pram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roadster,0.0,0.0,0.03231076225228288,0.03231081197093714,0.0,0.0,0.029737615072323288,0.013479884185077614
van,0.0,0.0,0.0016314042725361832,0.0016314658312371003,0.0,0.0,0.0016969539238819737,0.0007085462896650368
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.024216509828101935,0.024216585368462332,0.0,0.0,0.024432773431697547,0.010409409804037402
charabanc,0.0,0.0,0.04476928306898162,0.044840043354682106,0.0,0.0,0.0,0.012801332346237676
car,0.0,0.0,0.06545496077926122,0.06545759003247284,0.0,0.0,0.06534021380011953,0.0280361092302648
stagecoach,0.0,0.0,0.0031301875111571136,0.0031313974941565817,0.0,0.0,0.0030883617660144927,0.0013357066816183127
limousine,0.0,0.0,0.00785395413677838,0.007858008321975068,0.0,0.0,0.007388190389567881,0.0033000218354744754
dumper,0.0,0.0,0.03190223195183853,0.031968563691988305,0.0,0.0,0.031798887269950574,0.013667097559111057
tramcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underframe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamliner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.025112474657057193,0.025127722642922724,0.0,0.0,0.02474115925325704,0.010711622364748137
axle,0.0,0.0,0.05183397826840206,0.05183419846915194,0.0,0.0,0.0,0.014809739533936285
runabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.007602795911473539,0.007601909471657657,0.0,0.0,0.007552729393080533,0.0032510621108873894
bogie,0.0,0.0,0.00924835961187585,0.009249001985891923,0.0,0.0,0.00815472783989231,0.003807441348237155
motorbike,0.0,0.0,0.02200091159644623,0.022007162747797033,0.0,0.0,0.022400906874091537,0.009486997316904972
taxicab,0.0,0.0,0.02366715999890237,0.0236672695177779,0.0,0.0,0.023278191005171294,0.010087517217407365
backhoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trolley,0.0,0.0,0.003979046785636472,0.0039780885102011386,0.0,0.0,0.0036892727703310537,0.0016637725808812379
wheel,0.0,0.0,0.15776909146065918,0.15776949389280365,0.0,0.0,0.1578079978909849,0.06762094046349253
locomotive,0.0,0.0,0.006458601089413359,0.006457821011047553,0.0,0.0,0.006444040054598642,0.0027657803078656507
equipage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buggy,0.0,0.0,0.02235633207332315,0.02235000593325874,0.0,0.0,0.0224694255361604,0.009596537648963182
rickshaw,0.0,0.0,0.005872627513195472,0.005872464014346481,0.0,0.0,0.005694395568852238,0.0024913552994848846
phaeton,0.0,0.0,0.014909420437319897,0.014908581550099748,0.0,0.0,0.015298138891489786,0.006445162982701347
handcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luggage,0.0,0.0,0.003363578997809022,0.0033723451531802694,0.0,0.0,0.0,0.0009622748787127559
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,0.0,0.023314179255029033,0.02331428346550595,0.0,0.0,0.0,0.006661208960076427
jeep,0.0,0.0,0.029636659979307523,0.029637279194334887,0.0,0.0,0.028074942348120357,0.012478411645966109
machine,0.0,0.0,0.0044200204939386385,0.004419543525357453,0.0,0.0,0.004521779961574932,0.0019087634258387173
stanhope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0,0.0,0.009084801929916961,0.009086024596093674,0.0,0.0,0.009247030728921734,0.003916836750704624
carriage,0.0,0.0,0.031323489574563775,0.031319417561814035,0.0,0.0,0.031488294720609114,0.013447314550998133
streetcar,0.0,0.0,0.0014492722075683348,0.0014492801245611661,0.0,0.0,0.0014070190045896867,0.0006150816195313125
saloon,0.0,0.0,0.015403787626047685,0.015404023600350087,0.0,0.0,0.015255230009297724,0.006580434462242214
cart,0.0,0.0,0.009544564434422365,0.009544662418398521,0.0,0.0,0.009360502730687923,0.004064247083358401
ambulance,0.0,0.0,0.003945056231952142,0.003945098807398057,0.0,0.0,0.0038843036800290634,0.0016820655313398946
pedicab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lorry,0.0,0.0,0.04721826316790004,0.04720035858274083,0.0,0.0,0.046192193350514825,0.0200872593001651
stage,0.0,0.0,0.002110120606998504,0.0021290612243797915,0.0,0.002582209979388504,0.0021480660340335743,0.001281351120685768
yacht,0.0,0.0,0.0010371450106895458,0.001050906091039038,0.0,0.0,0.0010692371529700362,0.00045104117924265995
warship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battleship,0.0,0.0,0.0007484598020734068,0.0007545429869930344,0.0,0.0,0.0007658503623615536,0.00032412187877542783
piton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,0.0,0.0,0.005307276702164154,0.00536457495342127,0.0,0.0,0.0,0.0015245502365122034
vessel,0.0,0.0,0.002321053456198334,0.002349953309763077,0.0,0.0,0.0023670114985863554,0.0010054311806496808
sleigh,0.0,0.0,0.01573298107698047,0.015973670084028103,0.0,0.0,0.0164547623043913,0.006880201923628553
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.004935838028434461,0.004998851462494855,0.0,0.0,0.0,0.001419241355847045
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frigate,0.0,0.0,0.000664247708184524,0.000664416271336563,0.0,0.0,0.0006672913896311699,0.00028513648130746525
gondola,0.0,0.0,0.009241924502810474,0.009314424568558856,0.0,0.0,0.009069356918031747,0.0039465294270572965
diesel,0.0,0.0,0.00944148601778115,0.009461801380319351,0.0,0.0,0.0,0.0027004696283000717
driver,0.0,0.0,0.02241969573620339,0.022474404985953822,0.025291051572985158,0.0,0.0,0.010026450327877481
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tugboat,0.0,0.0,0.004584345402319094,0.004650405416688374,0.0,0.0,0.004735339505818758,0.0019957271892608896
freighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.004467827815549754,0.004519010206544223,0.0,0.0,0.004513435014005038,0.0019286104337284306
winch,0.0,0.0,0.009229393723082392,0.009338671929057279,0.0,0.0,0.0,0.002652580807448524
diner,0.0,0.0,0.03936080086354355,0.03998694667238665,0.0,0.0,0.040410768462152094,0.01710835942829747
ship,0.0,0.0,0.003782027974002813,0.0038263738349077663,0.0,0.0,0.00384653223189921,0.0016364191486871128
trap,0.0,0.0,0.0010953230062323129,0.0011087634089991486,0.0,0.0,0.0011153952128429667,0.0004742116611534897
