,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fishing,7,0.05,0.05,-
1,industries,7,0.0,0.0,-
2,fish,7,0.04,0.03,-
3,growing,7,0.0,0.0,-
4,ranging,7,0.0,0.0,-
5,pounds,7,0.01,0.0,-
6,commercially,7,0.0,0.0,-
7,marketing,7,0.0,0.0,-
8,very,7,0.0,0.0,-
9,deep,7,0.01,0.01,-
10,commonly,7,0.0,0.0,-
11,infected,6,0.0,0.0,-
12,meat,6,0.05,0.05,-
13,fed,6,0.01,0.01,-
14,serve,6,0.0,0.0,-
15,eaten,6,0.01,0.01,-
16,mexico,6,0.0,0.0,-
17,sells,6,0.0,0.0,-
18,live,6,0.01,0.0,-
19,characterized,6,0.0,0.0,-
20,cook,5,0.0,0.0,-
21,cooking,5,0.01,0.01,-
22,cooked,4,0.04,0.04,-
