,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,12,0.06,0.06,-
1,catch,11,0.02,0.01,-
2,fried,11,0.08,0.08,-
3,cold,11,0.01,0.0,-
4,popular,11,0.01,0.0,-
5,reach,11,0.0,0.0,-
6,fishing,11,0.06,0.06,-
7,waters,10,0.01,0.01,-
8,atlantic,10,0.03,0.03,-
9,family,10,0.01,0.0,-
10,local,10,0.01,0.0,-
11,shore,10,0.01,0.0,-
12,spring,10,0.01,0.0,-
13,catching,10,0.01,0.01,-
14,deep,10,0.01,0.01,-
15,crab,10,0.02,0.02,-
16,salmon,10,0.12,0.12,-
17,commercially,10,0.01,0.01,-
18,varied,9,0.0,0.0,-
19,dishes,9,0.02,0.02,-
20,eggs,8,0.04,0.04,-
21,egg,7,0.03,0.03,-
