,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
snake,0.0026338651572133786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026307562932172306,0.0,0.0,0.0,0.002578988753681428,0.0,0.0029238328274658245,0.0,0.0,0.0006333790018575213
alligator,0.00981133089950475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011690677195506866,0.0,0.01105820213698304,0.0,0.0117547377057414,0.0,0.012263257578343926,0.0,0.0,0.0033281297362399995
turtle,0.0021727895086132314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019098337902581765,0.0,0.0,0.0,0.0018827591250087415,0.0,0.0023744455492156727,0.0,0.0,0.0004905781160644601
gunman,0.0,0.011362343172978339,0.0,0.0,0.0,0.0,0.0,0.0,0.013082716486367578,0.0,0.0,0.0,0.013051703361725646,0.0,0.0,0.0,0.0,0.0022056919424159743
coyote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traitor,0.0,0.003402029617743757,0.0,0.0,0.0,0.0,0.0,0.0,0.0038356454316094235,0.0,0.0,0.0,0.0036969342397349145,0.0,0.0,0.0,0.0,0.0006432123111228291
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bootlegger,0.0,0.05332368687576769,0.0,0.0,0.0,0.0,0.0,0.0,0.06334805270550904,0.0,0.0,0.0,0.061802564322446255,0.0,0.0,0.0,0.0,0.010498488464924882
conspirator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.0036509649566937334,0.0,0.0,0.0,0.0,0.0,0.0,0.00442319241872148,0.0,0.0,0.0,0.004396500537439219,0.0,0.0,0.003860654049849047,0.0,0.000960665409570793
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
