,context,n_concepts,mean_tfidf,mean_diff,evidence
0,peach,8,0.08,0.08,-
1,became,8,0.01,0.0,-
2,and,8,0.04,0.01,-
3,apples,8,0.01,0.01,-
4,producer,8,0.0,0.0,-
5,watermelon,8,0.02,0.02,-
6,35,8,0.0,0.0,-
7,honey,8,0.01,0.01,-
8,notes,8,0.01,0.0,-
9,grapes,8,0.01,0.01,-
10,melon,8,0.01,0.01,-
11,1969,7,0.0,0.0,-
12,modest,7,0.0,0.0,-
13,slice,7,0.02,0.02,-
14,goal,7,0.0,0.0,-
15,cocktail,7,0.01,0.01,-
16,losses,7,0.01,0.0,-
17,addition,7,0.0,0.0,-
18,titled,7,0.0,0.0,-
19,research,7,0.0,0.0,-
20,yellow,6,0.02,0.01,-
