,mammal,animal,no-cat,bird,criminal,all,communication,relation,fish,object,food,female,measure,mean
sow,0.0054362534254689225,0.005545427858005775,0.0,0.0,0.0,0.007504951341242507,0.0,0.0,0.0,0.007489833945677271,0.0,0.0,0.0,0.0019981897361841905
vixen,0.05313676380068494,0.05023658537334592,0.0,0.0,0.0,0.04557942859693998,0.0,0.0,0.0,0.04558674073935446,0.0,0.0,0.0,0.014964578346948098
cow,0.0033122540057123587,0.0033639355453687803,0.0,0.0,0.0,0.0027785406857218126,0.0,0.0,0.0,0.0027397819720508462,0.0,0.0,0.0,0.0009380394006810614
bitch,0.03595316710521985,0.035820015668301085,0.0,0.0,0.0,0.03762127159735955,0.0,0.0,0.0,0.0374200187346038,0.0,0.0,0.0,0.011293421008114176
tigress,0.017322641654339527,0.017023103335932117,0.0,0.0,0.0,0.015683794887578022,0.0,0.0,0.0,0.015755574904774222,0.0,0.0,0.0,0.005060393444817222
ewe,0.001403501691503224,0.0013514571724186969,0.0,0.0,0.0,0.0012023724710462254,0.0,0.0,0.0,0.0011988063474103613,0.0,0.0,0.0,0.0003966259755675775
doe,0.009206609613133953,0.009107925182675338,0.0,0.0,0.0,0.008954155574585246,0.0,0.0,0.0,0.008965048564244599,0.0,0.0,0.0,0.002787210687279933
queen,0.004827696496022716,0.004887711540782823,0.0,0.0,0.0,0.004966076328136947,0.0,0.005653150288417907,0.0,0.004982993144847671,0.0,0.0,0.0,0.0019475098306313897
mare,0.0025552747723147358,0.0024894652366179775,0.0,0.0,0.0,0.002130563595739407,0.0,0.0,0.0,0.002130781223918536,0.0,0.0,0.0,0.0007158526791223581
lioness,0.03212104843079812,0.0315011499028385,0.0,0.0,0.0,0.03968508134655468,0.0,0.0,0.0,0.03970020762422538,0.0,0.0,0.0,0.01100057594649359
fox,0.002116811803248215,0.0020942379857689826,0.0,0.0,0.0,0.002201638461269712,0.0,0.002860796659330159,0.0,0.0022117068812952763,0.0,0.0,0.0,0.0008834762916086419
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.0019389131526663687,0.0017396753978982187,0.002579163628533646,0.0,0.0,0.0019642201012917875,0.0024312747095435435,0.0,0.0,0.0019945689524963513,0.0,0.0,0.0,0.000972908918648455
man,0.004130316335886603,0.003932957311114935,0.004886667306704936,0.0,0.0,0.004318210251961896,0.0,0.0,0.0,0.004337417316102666,0.0,0.0,0.0,0.0016619668093670026
human,0.003814439332263896,0.003870937785024975,0.0,0.0,0.0,0.004474860684159985,0.0,0.0,0.0,0.0045137427973907214,0.0,0.0,0.0,0.001282613892218429
stallion,0.0017646074472359627,0.0015584294174240797,0.0,0.0,0.0,0.0013930452264484744,0.0,0.0,0.0,0.0013937899849719674,0.0,0.0,0.0,0.0004699901596984987
ram,0.0006982390010753907,0.0006315740679841581,0.0011217688634645616,0.0,0.0,0.0006883275017996946,0.0,0.0,0.0,0.0006786912757806851,0.0,0.0,0.0,0.00029373851616188384
buck,0.0004784595224940661,0.00045607039191760773,0.0,0.0,0.0,0.0004951832802849942,0.0,0.0,0.0,0.0004983856969485796,0.0,0.0,0.0006567756374560903,0.00019883650223856446
tiger,0.005763509556365238,0.005469803064684694,0.0,0.0,0.0,0.005510235976988974,0.0,0.0,0.0,0.005563914368836526,0.0,0.0,0.0,0.0017159586897596488
boxer,0.0077752847797876576,0.006944233908894043,0.0,0.0,0.0,0.006939890457155787,0.0,0.0,0.0,0.006935235660462544,0.0,0.0,0.0,0.002199588062023079
lion,0.005614798403725533,0.005199393706002453,0.0,0.0,0.0,0.004916225374737689,0.0,0.0,0.0,0.004991144559856894,0.0,0.0,0.0,0.001593966311101736
