,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chicken,34,0.02,0.02,-
1,recipe,34,0.02,0.02,-
2,add,34,0.03,0.03,-
3,cream,33,0.03,0.03,-
4,potato,33,0.03,0.03,-
5,fresh,32,0.03,0.03,-
6,combine,32,0.02,0.02,-
7,rice,32,0.01,0.01,-
8,egg,32,0.01,0.01,-
9,cup,31,0.01,0.01,-
10,reserved,31,0.01,0.01,-
11,stuffed,31,0.02,0.02,-
12,bean,31,0.02,0.02,-
13,mix,31,0.01,0.01,-
14,green,31,0.03,0.03,-
15,mixture,31,0.04,0.04,-
16,sweet,30,0.03,0.03,-
17,liquid,30,0.01,0.01,-
18,sugar,30,0.02,0.02,-
19,paste,30,0.04,0.04,-
20,cook,30,0.02,0.02,-
21,cooking,26,0.01,0.01,-
22,cooked,25,0.03,0.03,-
23,cooks,5,0.01,0.01,-
