property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.6464802844886093,0.7011629477416187,,0.7011629477416187,,,,0.7007441617864706,0.7141453123512151,,0.644048254990213
warm,0.4968582524966938,0.5321542723379871,0.5766768908233996,0.5285765619239805,0.5354041226069292,0.5845711704989465,0.6473810077430203,0.5297905146081062,0.5236103918525571,,0.4947067067028416
black,0.5820529006880518,0.5868400981704087,0.7047430491851517,0.5825527181335088,0.7504184391089996,0.6590676592613038,,0.5842333123302808,0.573963014461119,,0.5818030195007861
red,0.5317233893466375,0.5388401177747922,0.7950202937134309,0.5361434843438592,0.7950202937134309,,,0.5327879403250592,0.5859173872893951,,0.5313142839998692
fly,0.6685444707479229,0.7287890928691871,0.8334292808968997,0.7063661954346773,0.8581155207555385,0.7702277919241352,0.8117148196905957,0.722081632539908,0.704457981800568,0.6841765707065276,0.6651306088277175
dangerous,0.6357272371205777,0.6866596613384516,0.7224139071249676,0.6791837735830892,0.7405008564756683,0.689968052957432,0.7821379156455527,0.6877572302950744,0.673449774103545,0.6736517524906485,0.6288149795481512
wings,0.6027385769714426,0.6418158745219816,0.7589761518044653,0.6315643502597642,0.7860722568118834,0.748137709801498,,0.6600960245049864,0.6206449216870623,0.6078698890025431,0.595535770007678
sweet,0.728018634268931,0.7722411946408279,0.8193830316146773,0.7672788960120015,0.8193830316146773,,,0.7672788960120015,,,0.661684793711086
hot,0.5940186140147862,0.6352794033608802,0.7270961936750152,0.6227589319544072,0.7465554044494565,,0.6881777721261327,0.6140987538829464,0.6413164563932515,,0.5765352286986447
used_in_cooking,0.7488922066876222,0.7756087141221472,0.8230174561684009,0.7745581048801248,0.8599416718097201,0.8726089690865733,0.69957751196759,0.7745482236977694,0.7745688428123956,,0.7003287030258499
juicy,0.6089965024232472,0.6440661896248887,0.7922939362285247,0.6411016346928161,0.7922939362285247,,,0.6351422845489018,0.6848035357481884,,0.603936943590762
green,0.5743869037694254,0.5884392256468053,0.8580151878529534,0.5856015839393722,0.8580151878529534,,,0.5782986989926929,0.6650204577345094,,0.5715822823552285
made_of_wood,0.5424525987037202,0.5993282366545812,0.7473087195904513,0.5864603685732012,0.7473087195904513,,,0.5918533648137936,0.5826652971446363,,0.5385887646037973
blue,0.6566287063073869,0.6636075613967279,0.7109309916319406,0.6630408137292404,0.7109309916319406,,,0.6612952911227271,0.6904455186514984,,0.6560572787346642
yellow,0.7113666848201057,0.7657788796219795,0.790175969953277,0.7576465161782138,0.790175969953277,,,0.7576465161782138,,,0.7068323352532829
roll,0.64940280304743,0.6229097532810589,0.6723744697091413,0.6193511405883909,0.7162115712739168,0.6285373681443659,,0.6068538288974279,0.6463339726484255,,0.6504599708072567
female,0.6941173405214504,0.7460317891711169,0.6332643354253398,0.7701962435452119,,0.6332643354253398,,0.8022156346895183,,0.7381768524009054,0.6625978538412957
cold,0.5799465515279484,0.572289671190291,0.6641341411457096,0.5640647932838359,0.7049116351405947,,0.6559786423467325,0.5725220863988792,0.5426990001510938,,0.5805016183250181
round,0.5747954010073765,0.5630412969099728,0.588368658527577,0.5617749288290926,0.6810824447064381,0.4956548723487159,,0.563396678961408,0.5309616763150996,,0.5758281883966883
wheels,0.6418218092305049,0.7298731418978691,0.7924151226268995,0.7229240329279768,0.8140988571881801,0.7707313880656188,,0.7864350767752557,0.6870264864056015,,0.6245568420408262
lay_eggs,0.6797854129387944,0.7371669820275278,0.830273062995802,0.7278563739307004,0.830273062995802,,,0.7178485229830558,0.7464423828334689,,0.6550325792142426
swim,0.5436439667598268,0.6035368223322337,0.6726391897053422,0.602233004079911,0.6726391897053422,,,0.6379166160783624,0.5917890200803642,,0.54120489119353
median,0.6223618697719124,0.6429410320734352,0.7473087195904513,0.6363329924762902,0.7682453479604415,0.6745178561093679,0.6938776420468613,0.6490063202916744,0.6463339726484255,0.6789141615985881,0.614246892815794
