property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.0034221897414545067,0.009452156731442948,,0.009452156731442948,,,,0.009663258411441276,0.002908004651494758,,0.003154004969140915
warm,0.0027009969449511596,0.005469560896663119,0.003955735746734113,0.005591207560496699,0.00358566325079927,0.0037567784979543315,0.00499431661177347,0.005647721285097212,0.005360015050767348,,0.0025322330970130535
black,0.0023877045307724287,0.00339947765499432,0.00788605720889382,0.0032363293075797933,0.01408246701801092,0.0016896473997767194,,0.0033664684247950703,0.0025711738195906015,,0.0023348921973652447
red,0.0019269315304177967,0.0038342723251080617,0.02435050191895927,0.0036183120135938386,0.02435050191895927,,,0.003622128205018782,0.0035617051741238474,,0.0018172879877290148
fly,0.0018836443185132944,0.0027201983322310453,0.004266125920255721,0.0023889281347971867,0.004728538603321452,0.004034445864136263,0.0019550099341002587,0.0033022175009886677,0.0022668424407390796,0.001215041996886997,0.0018362395910692878
dangerous,0.002756896630717,0.004081918747896498,0.003425154438259287,0.004219242194457005,0.0020239123656606403,0.0028509742187493377,0.004973869755164514,0.00505819070928482,0.003764093890151288,0.0026184361287768646,0.0025770722005283566
wings,0.002612477020870232,0.0031783633179722436,0.00575423563530771,0.00295297449020539,0.0052525506093422224,0.005954909645693904,,0.0034334995869070082,0.003008499540924788,0.0019473658543199995,0.0025081717076332103
sweet,0.007224160556074388,0.01044747494011057,0.009250464395872819,0.01057347605003033,0.009250464395872819,,,0.01057347605003033,,,0.0023891889800201215
hot,0.007370147663017012,0.013049514752364065,0.02009428058939148,0.012088864865496691,0.023913213001523263,,0.01245641576512791,0.014661805201674604,0.0065754212879725864,,0.00496363618448012
used_in_cooking,0.006236878967652083,0.008384980778954925,0.010322349493830181,0.008342047400231924,0.012988369290350911,0.012663821693620379,0.002648837700998518,0.010291861590797412,0.006223174175802379,,0.0023322012909488773
juicy,0.004401719450004086,0.01007563111406223,0.0339424964476525,0.009598293807390426,0.0339424964476525,,,0.009781374825869403,0.008255699671877935,,0.0035831353061088543
green,0.0033603443614110794,0.0057568295415873875,0.015086182021258226,0.005658625831275061,0.015086182021258226,,,0.005719903727097815,0.004992228714202614,,0.0028820437849101945
made_of_wood,0.0024395374120338965,0.005765459184614821,0.014098995718164012,0.005040803833871412,0.014098995718164012,,,0.0063731684175420975,0.004103213941658707,,0.0022135916394400855
blue,0.0018525395525826125,0.0023827051239943297,0.007784964010665252,0.002318007412776714,0.007784964010665252,,,0.0021810454799655625,0.004468309757911795,,0.0018091296777916327
yellow,0.0033044980016454406,0.007905486693629697,0.015023713985480646,0.005532744263012714,0.015023713985480646,,,0.005532744263012714,,,0.0029210822773134202
roll,0.002263564959971582,0.003896546977501668,0.005180989509283226,0.0038041410399634284,0.0030858430130222487,0.007276136005544205,,0.0034730191499484,0.004519063302495881,,0.002198403117279565
female,0.006264826199338319,0.009870327363087445,0.00485808627563282,0.01094437902468486,,0.00485808627563282,,0.015794141168913752,,0.006094616880455971,0.004075771921347781
cold,0.0037116866462982468,0.006057107961932593,0.006816271206853595,0.005989123193730713,0.011294172869061809,,0.005920690874411951,0.006521920095589014,0.00464310996798342,,0.0035416610692959576
round,0.0034837338256896604,0.007764157465143105,0.004747757460353395,0.007914977465382592,0.0012046539175362629,0.008290861003170528,,0.008093517166992753,0.004522723134789518,,0.003107629656532665
wheels,0.005549011284026723,0.013934209423237958,0.011699674709894452,0.014182491058053902,0.016407467038739337,0.006991882381049567,,0.015486275002140197,0.013445569698352958,,0.0039048547861421684
lay_eggs,0.005574110301844318,0.007773765201080682,0.011288625502454679,0.007422279170943284,0.011288625502454679,,,0.007880630186227821,0.006571055856843426,,0.004625239560997256
swim,0.0021043204092025558,0.005517968016857701,0.0034650936165789127,0.005556701496108244,0.0034650936165789127,,,0.010922728331334718,0.003986157056529761,,0.0019653030858138854
median,0.0033324211815282598,0.005911283573273708,0.00788605720889382,0.005624916695885881,0.011291399185758243,0.005406497960663362,0.004984093183468992,0.006447544256565556,0.004519063302495881,0.002282900991548432,0.002554652648770705
