property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,1504.0,64.0,0.0,64.0,0.0,0.0,0.0,62.0,2.0,0.0,1440.0
warm,2107.0,121.0,9.0,112.0,4.0,3.0,2.0,90.0,22.0,0.0,1986.0
black,1149.0,57.0,2.0,55.0,1.0,1.0,0.0,46.0,9.0,0.0,1092.0
red,1767.0,96.0,1.0,95.0,1.0,0.0,0.0,89.0,6.0,0.0,1671.0
fly,952.0,51.0,9.0,42.0,6.0,2.0,1.0,8.0,31.0,3.0,901.0
dangerous,1114.0,133.0,23.0,110.0,2.0,14.0,7.0,44.0,60.0,6.0,981.0
wings,560.0,87.0,7.0,80.0,2.0,5.0,0.0,27.0,38.0,15.0,473.0
sweet,35.0,21.0,2.0,19.0,2.0,0.0,0.0,19.0,0.0,0.0,14.0
hot,84.0,25.0,3.0,22.0,2.0,0.0,1.0,15.0,7.0,0.0,59.0
used_in_cooking,572.0,369.0,8.0,361.0,4.0,2.0,2.0,188.0,173.0,0.0,203.0
juicy,810.0,102.0,2.0,100.0,2.0,0.0,0.0,88.0,12.0,0.0,708.0
green,578.0,96.0,1.0,95.0,1.0,0.0,0.0,87.0,8.0,0.0,482.0
made_of_wood,786.0,50.0,4.0,46.0,4.0,0.0,0.0,19.0,27.0,0.0,736.0
blue,2234.0,169.0,2.0,167.0,2.0,0.0,0.0,157.0,10.0,0.0,2065.0
yellow,52.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,48.0
roll,3885.0,149.0,10.0,139.0,5.0,5.0,0.0,95.0,44.0,0.0,3736.0
female,45.0,17.0,3.0,14.0,0.0,3.0,0.0,7.0,0.0,7.0,28.0
cold,1081.0,73.0,6.0,67.0,1.0,0.0,5.0,48.0,19.0,0.0,1008.0
round,520.0,42.0,2.0,40.0,1.0,1.0,0.0,38.0,2.0,0.0,478.0
wheels,244.0,40.0,4.0,36.0,2.0,2.0,0.0,13.0,23.0,0.0,204.0
lay_eggs,74.0,22.0,2.0,20.0,2.0,0.0,0.0,13.0,7.0,0.0,52.0
swim,1381.0,54.0,1.0,53.0,1.0,0.0,0.0,12.0,41.0,0.0,1327.0
median,798.0,60.5,2.5,59.5,2.0,0.0,0.0,41.0,11.0,0.0,722.0
