property,all,prop-specific,non-specific,u
square,0.10218438844465011,,0.1738620917486038,0.1024677126843291
warm,0.09225664639637036,0.27141406904492116,0.13853508539578685,0.09226291302457093
black,0.09588909430449082,0.15264564752578735,0.1312300641879891,0.09652234469919505
red,0.09410261021281398,1.0,0.13939083264561836,0.09430622286589074
fly,0.09610477693424305,0.3465759404417541,0.13312624964395778,0.09675313243197738
dangerous,0.09810692210172313,0.23888251408492858,0.13340339499096182,0.09870801474393862
wings,0.10261152451089924,0.3916362431787309,0.1597197079326651,0.10419472181388165
sweet,0.18232881701512246,0.46825292706489563,0.3211324022788751,0.10244580384876047
hot,0.14530467624897356,0.2793727864821752,0.2154527712790739,0.13381498277188436
used_in_cooking,0.17074025260189699,0.38495492775525364,0.2382179969233831,0.11052281631568386
juicy,0.12138827367616957,0.6377920508384705,0.2978347000603874,0.1134764437262658
green,0.11748205389878565,1.0,0.20687553621635618,0.11019134033406025
made_of_wood,0.08954074720743382,0.44136591255664825,0.1369937786690729,0.08881141775725554
blue,0.09245625396496787,0.29293370246887207,0.12972177728980447,0.09268606923898191
yellow,0.11444869559001161,1.0,0.27798056105772656,0.11195814003094581
roll,0.09234703158282775,0.20755606106378965,0.1487449613500482,0.09214386918447597
female,0.15007135737193467,0.5798404018084208,0.27330322526804696,0.13543329757722045
cold,0.09958429071117957,0.3367664257685343,0.14358993603210612,0.09954067752337688
round,0.10224359265159536,0.12444227188825607,0.2175034388052061,0.09933095773350145
wheels,0.1087340137861835,0.38560960441827774,0.2163434407097243,0.10621012483455047
lay_eggs,0.1386291050653517,0.8302193880081177,0.2851543566800262,0.11851706861505681
swim,0.09135613353866956,1.0,0.13020223431124964,0.09172051976106434
median,0.10221399054812273,0.38560960441827774,0.16679089984063444,0.10099324068606867
