property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,1.0,0.0425531914893617,0.0,0.0425531914893617,0.0,0.0,0.0,0.041223404255319146,0.0013297872340425532,0.0,0.9574468085106383
warm,1.0,0.05742762221167537,0.004271476032273375,0.053156146179401995,0.0018984337921214998,0.0014238253440911248,0.0009492168960607499,0.04271476032273375,0.01044138585666825,0.0,0.9425723777883246
black,1.0,0.04960835509138381,0.0017406440382941688,0.047867711053089644,0.0008703220191470844,0.0008703220191470844,0.0,0.04003481288076589,0.007832898172323759,0.0,0.9503916449086162
red,1.0,0.05432937181663837,0.0005659309564233164,0.053763440860215055,0.0005659309564233164,0.0,0.0,0.05036785512167515,0.003395585738539898,0.0,0.9456706281833617
fly,1.0,0.05357142857142857,0.009453781512605041,0.04411764705882353,0.0063025210084033615,0.0021008403361344537,0.0010504201680672268,0.008403361344537815,0.032563025210084036,0.0031512605042016808,0.9464285714285714
dangerous,1.0,0.11938958707360861,0.02064631956912029,0.09874326750448834,0.0017953321364452424,0.012567324955116697,0.0062836624775583485,0.03949730700179533,0.05385996409335727,0.005385996409335727,0.8806104129263914
wings,1.0,0.15535714285714286,0.0125,0.14285714285714285,0.0035714285714285713,0.008928571428571428,0.0,0.048214285714285716,0.06785714285714285,0.026785714285714284,0.8446428571428571
sweet,1.0,0.6,0.05714285714285714,0.5428571428571428,0.05714285714285714,0.0,0.0,0.5428571428571428,0.0,0.0,0.4
hot,1.0,0.2976190476190476,0.03571428571428571,0.2619047619047619,0.023809523809523808,0.0,0.011904761904761904,0.17857142857142858,0.08333333333333333,0.0,0.7023809523809523
used_in_cooking,1.0,0.6451048951048951,0.013986013986013986,0.6311188811188811,0.006993006993006993,0.0034965034965034965,0.0034965034965034965,0.32867132867132864,0.30244755244755245,0.0,0.3548951048951049
juicy,1.0,0.1259259259259259,0.0024691358024691358,0.12345679012345678,0.0024691358024691358,0.0,0.0,0.10864197530864197,0.014814814814814815,0.0,0.8740740740740741
green,1.0,0.16608996539792387,0.0017301038062283738,0.1643598615916955,0.0017301038062283738,0.0,0.0,0.15051903114186851,0.01384083044982699,0.0,0.8339100346020761
made_of_wood,1.0,0.06361323155216285,0.005089058524173028,0.058524173027989825,0.005089058524173028,0.0,0.0,0.024173027989821884,0.03435114503816794,0.0,0.9363867684478372
blue,1.0,0.0756490599820949,0.0008952551477170994,0.0747538048343778,0.0008952551477170994,0.0,0.0,0.0702775290957923,0.004476275738585497,0.0,0.9243509400179051
yellow,1.0,0.07692307692307693,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.0,0.0,0.057692307692307696,0.0,0.0,0.9230769230769231
roll,1.0,0.03835263835263835,0.002574002574002574,0.03577863577863578,0.001287001287001287,0.001287001287001287,0.0,0.02445302445302445,0.011325611325611325,0.0,0.9616473616473616
female,1.0,0.37777777777777777,0.06666666666666667,0.3111111111111111,0.0,0.06666666666666667,0.0,0.15555555555555556,0.0,0.15555555555555556,0.6222222222222222
cold,1.0,0.06753006475485661,0.005550416281221091,0.061979648473635525,0.0009250693802035153,0.0,0.004625346901017576,0.04440333024976873,0.01757631822386679,0.0,0.9324699352451434
round,1.0,0.08076923076923077,0.0038461538461538464,0.07692307692307693,0.0019230769230769232,0.0019230769230769232,0.0,0.07307692307692308,0.0038461538461538464,0.0,0.9192307692307692
wheels,1.0,0.16393442622950818,0.01639344262295082,0.14754098360655737,0.00819672131147541,0.00819672131147541,0.0,0.05327868852459016,0.0942622950819672,0.0,0.8360655737704918
lay_eggs,1.0,0.2972972972972973,0.02702702702702703,0.2702702702702703,0.02702702702702703,0.0,0.0,0.17567567567567569,0.0945945945945946,0.0,0.7027027027027027
swim,1.0,0.0391020999275887,0.000724112961622013,0.03837798696596669,0.000724112961622013,0.0,0.0,0.008689355539464157,0.029688631426502535,0.0,0.9608979000724113
median,1.0,0.07884615384615384,0.0053197374026970595,0.07583844087872736,0.0019107553575992116,0.0,0.0,0.051823271823132656,0.014327822632320903,0.0,0.9211538461538462
