,all,red,relation,weapon,mammal,bird,no-cat,animal,food,plant,object,fruit,vegetable,vehicle,measure,mean,median
vine,0.013596053066793512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01132489214637854,0.012586063794753041,0.0,0.0,0.0,0.0,0.0025004672671950063,0.0
dress,0.04185406846250442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039800956950785574,0.0,0.0,0.0,0.0,0.0054436683608859995,0.0
rhubarb,0.025834215291966525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028079529550406428,0.026285201637158938,0.02485622640692452,0.0,0.028643936498228446,0.0,0.0,0.00891327395897899,0.0
balloon,0.025638494946919072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024381386779594578,0.0,0.0,0.040239744167314705,0.0,0.00601730839292189,0.0
squirrel,0.07112507035083122,0.0,0.0683113243535278,0.0,0.07658843895300926,0.0,0.0,0.07294583182882006,0.0,0.0,0.06342833453037376,0.0,0.0,0.0,0.0,0.023493266667770806,0.0
pomegranate,0.015493137261018006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016998669471409374,0.016009775898227264,0.014875425462016324,0.01710026186786562,0.0,0.0,0.0,0.005365151330702439,0.0
ring,0.004089034789722322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038449674932886256,0.0,0.0,0.0,0.0,0.0005289334855340631,0.0
allspice,0.01054256144829739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012119060883249618,0.0114844906751791,0.010139126171273537,0.0,0.0,0.0,0.0,0.0029523492785333096,0.0
anger,0.004094460493671071,0.007222830856887106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007544860900372118,0.0
flame,0.017100987649258204,0.0289351449660238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030690755076854667,0.0
lip,0.0038853529929831574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036239553656082927,0.0,0.0,0.0,0.0,0.00050062055723943,0.0
blackberry,0.003674327328829965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003391137687602535,0.0029543159741878674,0.0034613045878071802,0.0034504887683406305,0.0,0.0,0.0,0.0011287716231178782,0.0
chutney,0.007428009862743396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008389784207081412,0.0,0.0,0.0,0.0,0.0,0.0,0.0010545196046549872,0.0
pot,0.0013506294965076407,0.0,0.0018522753311014844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012477942038480669,0.0,0.0,0.0,0.0030129196263407845,0.0004975745771865317,0.0
apple,0.005424158830051469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005020051974206623,0.004532957453434772,0.0050625217636869465,0.0052496427143600465,0.0,0.0,0.0,0.0016859555157159904,0.0
pepper,0.08619303358151108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08963009501921677,0.08164568843779542,0.08249620944917152,0.0,0.08830962609121451,0.0,0.0,0.02855164350526062,0.0
watermelon,0.026333464586029493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028436366855875188,0.02565052758820039,0.025143387386353338,0.028190273311429995,0.0,0.0,0.0,0.008916934648525894,0.0
cherry,0.06133999206981762,0.0,0.06322242138397835,0.0,0.0,0.0,0.0,0.0,0.06261805786208861,0.0572034153025985,0.058861345734609126,0.06421122537571844,0.0,0.0,0.0,0.02449709718192071,0.0
chameleon,0.010043146594256947,0.0,0.0,0.0,0.0,0.0,0.00907017856445724,0.008515516480905727,0.0,0.0,0.006448544409386029,0.0,0.0,0.0,0.0,0.002271825736600396,0.0
heart,0.005113708994273137,0.0,0.0060976185333727045,0.0,0.0,0.0,0.0,0.0,0.004770587549743923,0.0,0.0048398238342877735,0.0,0.0,0.0,0.0,0.0013881159274451692,0.0
football,0.0017934106000854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001705082101830738,0.0,0.0,0.0,0.0,0.0002332328467944092,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.008601363172916836,0.0,0.0,0.0,0.0,0.0,0.0,0.008359873094864419,0.009157946932420245,0.0,0.008244027318007567,0.0,0.0,0.0,0.0,0.0022908807012139375,0.0
car,0.007178065277614386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006762409123401751,0.0,0.0,0.010208874529083081,0.0,0.001609956595339948,0.0
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lentil,0.0456362515464413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04973699784224436,0.04415088503653082,0.04339467372258548,0.046505241200742745,0.04825162193218129,0.0,0.0,0.018511711418715066,0.0
flower,0.022886103426148306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018871740359928054,0.02171750331981141,0.0,0.0,0.0,0.029694802311186746,0.006211343294471635,0.0
rooster,0.05747222668382648,0.0,0.0,0.0,0.0,0.08449128666750626,0.0,0.06590410624868177,0.0,0.0,0.04722349999419993,0.0,0.0,0.0,0.0,0.017006074639614295,0.0
melon,0.010242361704621212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011014717159165573,0.009525688541174129,0.009798338837191035,0.011202472680151995,0.0,0.0,0.0,0.003452238594820263,0.0
carnation,0.1385623143519145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206071386259365,0.12938771008154346,0.0,0.0,0.0,0.0,0.024667382553070105,0.0
nectarine,0.009212120285514328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010124058966221074,0.009330472614764834,0.00872674440930925,0.010973538510983734,0.0,0.0,0.0,0.0032244623191195476,0.0
lobster,0.09361064273404143,0.0,0.0,0.0,0.0,0.0,0.0,0.09441601807257691,0.09535295178265425,0.0,0.08911757126928138,0.0,0.0,0.0,0.0,0.024833145590570264,0.0
ginger,0.010669962398657369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01142743945159653,0.010271679984093604,0.010214365630226738,0.0,0.0,0.0,0.0,0.0028388964976382826,0.0
mango,0.010482263329661864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011439962017680388,0.010298768869444152,0.010068712841314695,0.011572827954957648,0.0,0.0,0.0,0.00359083566753725,0.0
leafs,0.0009078843740624523,0.0010982109332087733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013373968715141505,0.0
couch,0.009368408209219834,0.0,0.009063045277876434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008882955429261255,0.0,0.0,0.0,0.0,0.001820960594423835,0.0
marinade,0.007847951180909809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008473378404930674,0.0,0.0,0.0,0.0,0.0,0.0,0.0010880886390560321,0.0
beet,0.057648739562629135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061359277393409545,0.05726940893455659,0.0547861350733505,0.0,0.0578704963549848,0.0,0.0,0.019262270487928706,0.0
barn,0.027730226776416553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026328344316489886,0.0,0.0,0.0,0.037602379923085585,0.006110730067732802,0.0
paint,0.07584507414359229,0.0,0.08418147095381227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07222919818746296,0.0,0.0,0.0,0.0,0.015483716218991167,0.0
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.15292138079111917,0.0,0.1622361859251464,0.0,0.0,0.0,0.0,0.0,0.15297903280147226,0.0,0.0,0.0,0.0,0.0,0.0,0.03120910663451586,0.0
grape,0.039985721950808455,0.0,0.0,0.039688619684768216,0.0,0.0,0.0,0.0,0.04054486357681352,0.03627948058634494,0.03793652854218901,0.040887584399347025,0.0,0.0,0.0,0.015688186582684744,0.0
tomato,0.026878262876737634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029733694253984554,0.027015771531842554,0.025821899445998085,0.0,0.029441926067849716,0.0,0.0,0.009259436945094169,0.0
vegetable,0.002402728717742191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002571129154528391,0.00233394345740775,0.0023142854813984343,0.0,0.0025263392106698907,0.0,0.0,0.0008098950681164438,0.0
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.07351188778863468,0.0,0.05789150636889464,0.0,0.0,0.0,0.0,0.0,0.0,0.041547928054503504,0.04493519202149619,0.0,0.0,0.0,0.0,0.0145257676155686,0.0
lipstick,0.21100919125470627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20247924243317297,0.0,0.0,0.0,0.0,0.027565895579191948,0.0
ant,0.05112444380713347,0.0,0.0,0.0,0.0,0.0,0.0,0.06588836098524915,0.0,0.0,0.04710371263924095,0.0,0.0,0.0,0.0,0.01094110116210824,0.0
onion,0.08572069091999077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09482315957948803,0.08660030901216842,0.08213457239076973,0.0,0.10333405535584209,0.0,0.0,0.03017418581721727,0.0
sauce,0.024897917611829655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027959325024161118,0.0,0.0,0.0,0.0,0.0,0.0,0.0035238161757327182,0.0
ink,0.28379474174122804,0.0,0.3435991577393122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04182625996536935,0.0
fern,0.018570387477568995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01644701787253822,0.017607367699521915,0.0,0.0,0.0,0.0,0.003508318203308609,0.0
hair,0.037432703476702245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03558505865436816,0.0,0.0,0.0,0.05066345083931963,0.008245414198026001,0.0
jeep,0.005621369479520181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005604141934329286,0.0,0.0,0.009466184781102303,0.0,0.0013794464129967847,0.0
raspberry,0.040043162662494663,0.0,0.0,0.0,0.0,0.0,0.038769529399824365,0.0,0.04339777418165067,0.03986971985050697,0.03851143158061448,0.044762467281282185,0.0,0.0,0.0,0.016356938997091557,0.0
cake,0.004908578052305492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005149859897214987,0.0,0.004626686336747307,0.0,0.0,0.0,0.0,0.0009790082857511857,0.0
tongue,0.003423258637672432,0.0,0.0,0.0,0.0,0.0,0.004926098477448516,0.0,0.0030258976430546265,0.0,0.003271933082630608,0.0,0.0,0.0,0.0,0.0009764791893870789,0.0
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0025984911038236143,0.0,0.0,0.0,0.0,0.005306765416057408,0.0,0.0037084224422813325,0.0,0.0,0.0025451612641979073,0.0,0.0,0.0,0.0,0.0009439226817573508,0.0
geranium,0.08848712831253008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07923283902400972,0.08439992000036156,0.0,0.0,0.0,0.0,0.016807992489126757,0.0
ruby,0.03285139134653107,0.0,0.043950375401330184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03131331751785903,0.0,0.0,0.0,0.0,0.007207672284381352,0.0
miner,0.00023825722157251621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022724120926504072,0.0,0.0,0.0,0.0,3.103322872250379e-05,0.0
apricot,0.014738906872678686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016053413144507273,0.014660500151663652,0.014038106473418188,0.016709160051312285,0.0,0.0,0.0,0.005080005779572005,0.0
candy,0.018112853105581174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017872233731364182,0.0,0.0,0.0,0.0,0.0,0.0,0.0023990057891296905,0.0
ambulance,0.019160400203445227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018173464219962826,0.0,0.0,0.028575632803015963,0.0,0.004393966481761601,0.0
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vinegar,0.03937620644683233,0.0,0.04274118916121464,0.0,0.0,0.0,0.0,0.0,0.04462385977251121,0.0,0.0,0.0,0.0,0.0,0.0,0.008449417025370547,0.0
egg,0.001424418823788619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014632373687302736,0.0,0.001390252404252706,0.0,0.0,0.0,0.0,0.0002851939064514399,0.0
pit,0.004182054524548879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004207777861568542,0.0,0.0,0.0,0.0,0.0005593221590744948,0.0
cream,0.002971135490401535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003029137524758438,0.0,0.002961911203021868,0.0,0.0,0.0,0.0,0.0005974789478787894,0.0
guava,0.005814106966959559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067753326025394986,0.005678345979410159,0.005734159805907704,0.006492307968593957,0.0,0.0,0.0,0.002032950221560725,0.0
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.009728823692623751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010711486253567038,0.00974326123883358,0.009715835869148884,0.0,0.011896832273317745,0.0,0.0,0.0034530826218327334,0.0
crypt,0.0018222894790758822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018577080095285479,0.0,0.0,0.0,0.0,0.00024533316590696203,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.002354258553315151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002813629278606189,0.002443647035962916,0.0023400991244854757,0.0026705333696617913,0.0,0.0,0.0,0.000841477824135435,0.0
banana,0.0024602643020543366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023027112142969294,0.0022282800670046245,0.002496456815962597,0.0025008184615524396,0.0,0.0,0.0,0.0007992353907247285,0.0
herring,0.44140814056007494,0.0,0.0,0.0,0.0,0.0,0.464289304830651,0.45033262317384415,0.40464238534737523,0.0,0.42817009255639665,0.0,0.0,0.0,0.0,0.14592283643122278,0.0
shiitake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.005249915924531908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005730900533266787,0.005603866929794675,0.00532064775759947,0.0,0.00773280881466689,0.0,0.0,0.001975875997323982,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weed,0.0018131214270268234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001496454946773017,0.0018148609868763857,0.0,0.0,0.0,0.0,0.0003416291573784151,0.0
raisin,0.0017007003702219868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018281797759075152,0.0,0.0016247470150573377,0.001926333752302426,0.0,0.0,0.0,0.00047199739423261773,0.0
chocolate,0.004815561445881509,0.0,0.005294996785567443,0.0,0.0,0.0,0.0,0.0,0.005162088016601001,0.0,0.0,0.0,0.0,0.0,0.0,0.0010181764165366634,0.0
night,0.012293624113902193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014931782139257855,0.0018150270835440032,0.0
fear,0.0011847430562287094,0.0016622908702899723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018980226176791213,0.0
peanut,0.0002443760916650512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002446390085944871,0.00023913899400347248,0.0002798298876512382,0.0,0.0,0.0,6.719893212761659e-05,0.0
cat,0.005598214405983245,0.0,0.0,0.0,0.008293571333833013,0.0,0.007511855988482894,0.007239927301137079,0.0,0.0,0.005702045223372724,0.0,0.0,0.007174941617619811,0.0,0.0027680370580285846,0.0
cilantro,0.006651359666765632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007950296882860121,0.007176028400041176,0.006499876767618592,0.0,0.0,0.0,0.0,0.0018851707811523679,0.0
eye,0.018078018860365714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01813494804997202,0.0,0.0,0.0,0.0,0.0024141977940225156,0.0
slug,0.0012573842999253626,0.0,0.0015324674156799525,0.0018387935866756016,0.0,0.0,0.0,0.0015382616214480234,0.001117175918137438,0.0,0.0012695481310432927,0.0,0.0,0.0,0.00163538710128363,0.0006792678716128867,0.00033963393580644334
limousine,0.014562374756282252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014776487000768439,0.0,0.0,0.022130974335691597,0.0,0.0034313224061828193,0.0
water,0.005148664672331849,0.0,0.0059155102110848646,0.0,0.0,0.0,0.0,0.0,0.004661856723062531,0.0,0.005135265348410545,0.0,0.0,0.0,0.0,0.0013907531303259857,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.008308611706355096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010315823430164453,0.009135515051926134,0.007994156887113994,0.0,0.0,0.0,0.0,0.002383607138370645,0.0
avocado,0.009122916029068867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010082069796866402,0.009084165925296388,0.009041595174396691,0.009936270242182396,0.0,0.0,0.0,0.0031511344778540496,0.0
frog,0.012901198037109814,0.0,0.0,0.0,0.0,0.0,0.0,0.016083011025419494,0.0,0.0,0.01323539056704314,0.0,0.0,0.0,0.0,0.00281463997530483,0.0
cinnamon,0.006022406932553668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178459679900276,0.006437007728515513,0.005822884842737494,0.0,0.0,0.0,0.0,0.0016973839455804635,0.0
artichoke,0.005633419544726224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057132478290370485,0.004770833584985491,0.005453795351402873,0.0,0.005345965956739819,0.0,0.0,0.0017944841511260967,0.0
blueberry,0.009225176147379196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010118993884285969,0.009138546800627511,0.00927990360949111,0.011025210570438626,0.0,0.0,0.0,0.0032525220674814942,0.0
tiger,0.0006396159845264234,0.0,0.0,0.0,0.0009705873361866743,0.0,0.0,0.0006708638918341183,0.0,0.0,0.0006652983825711405,0.0,0.0,0.0,0.0,0.00019642437300789045,0.0
celery,0.009096684569222972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01082886051881567,0.009889269954897731,0.008952963929878682,0.0,0.01200793655642149,0.0,0.0,0.003385047701949103,0.0
chicken,0.004019009858261729,0.0,0.0,0.0,0.0,0.004685771989214869,0.0,0.004229359149260294,0.004419130864187537,0.0,0.0039895194492923355,0.0,0.0,0.0,0.0,0.001422852754014451,0.0
pineapple,0.004363382392366111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004898239956841067,0.004344535791078525,0.004344445044628147,0.004898284111477473,0.0,0.0,0.0,0.001523259153092755,0.0
honey,0.003032825539992354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030205919797232092,0.0,0.003009489028301276,0.0,0.0,0.0,0.0,0.0006041937698677892,0.0
coconut,0.0035326944156543584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003687762793101913,0.0033884024149631407,0.0034950372447708575,0.003614686067156261,0.0,0.0,0.0,0.0011812388623764353,0.0
yogurt,0.001104399153500276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011929478228269725,0.0,0.0,0.0,0.0,0.0,0.0,0.00015315646508848324,0.0
carrot,0.007673938089441673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077753090179486116,0.007069832770799081,0.007598356062034559,0.0,0.007766781803879685,0.0,0.0,0.002525614516273574,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,0.0006062599924746405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005969398173846887,0.0005387000276329284,0.0005996509577125,0.0,0.0,0.0,0.0,0.00015610338634698383,0.0
crow,0.0011378211274025891,0.0,0.0,0.0,0.0,0.0021839286351563163,0.0,0.0014103986390609127,0.0,0.0,0.0011593291109598424,0.0,0.0,0.0,0.0,0.0003927651675053107,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.006475108682532598,0.0,0.0,0.0,0.007441167358645973,0.0,0.0,0.00641632409834488,0.0,0.0,0.00618995691186102,0.0,0.0,0.0,0.0,0.0017681704700922983,0.0
milk,0.001000202849922778,0.0,0.0010918170376420166,0.0,0.0,0.0,0.0,0.0,0.001044418153530736,0.0,0.0,0.0,0.0,0.0,0.0,0.00020909586940636872,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.002397806586374382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002507255400495217,0.0,0.002379346134353343,0.0,0.00239226667530899,0.0,0.0,0.0006451116531021288,0.0
coffee,0.0033848752589878965,0.0,0.00385671929444972,0.0,0.0,0.0,0.0,0.0,0.0033349421831028545,0.002954772980786403,0.003385761882461535,0.0033862816077011556,0.0,0.0,0.0,0.0013535568804993042,0.0
vanilla,0.0011372367250144808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012653210792066614,0.0011370995178402283,0.0011266888890158397,0.0,0.0,0.0,0.0,0.00031108974740514734,0.0
grapefruit,0.040205099304770515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04468662118721292,0.03989779201626025,0.040195033948069635,0.04496348913842371,0.0,0.0,0.0,0.013996535706315804,0.0
chive,0.021687065609949298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02185320033463203,0.02154602769681163,0.0,0.0,0.0,0.0,0.00433908624275953,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.011567238100508874,0.0,0.0,0.0,0.016077202129499285,0.0,0.014603211905584668,0.013282496830075251,0.010220538813923697,0.0,0.011742212004543113,0.0,0.0,0.0,0.0,0.005166193318942326,0.0
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.003894123828409745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003664908063202949,0.0038046430792174984,0.00414126605719672,0.0,0.0,0.0,0.001033662735201794,0.0
jade,0.002322178000225942,0.0,0.0,0.0,0.0033498590139533517,0.0,0.0,0.0026421102914087587,0.0,0.0,0.002356044064737512,0.0,0.0,0.0,0.0,0.0007113460913550376,0.0
wheat,0.01906189007139881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019425856405626923,0.017834442255534225,0.019089812984168543,0.0,0.0,0.0,0.0,0.005027466781115233,0.0
