,all,red,relation,weapon,mammal,bird,no-cat,animal,food,plant,object,fruit,vegetable,vehicle,measure,mean,median
glass,0.012488007604061558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011856877964591228,0.0,0.0,0.0,0.015972030606058667,0.0026877944116474304,0.0
bus,0.0075819818844745385,0.0,0.0,0.0,0.0,0.0,0.009998527959453834,0.0,0.0,0.0,0.0071370074957184055,0.0,0.0,0.011282321119880053,0.0,0.002399989230635122,0.0
fox,0.002388667359340064,0.0,0.0032084463438795583,0.0,0.003421865349557824,0.0,0.0,0.002921331444498442,0.0,0.0,0.0022172882741080414,0.0,0.0,0.0,0.0,0.000943839918092262,0.0
cabbage,0.0734898659697167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07764548527924367,0.07019907121311098,0.07034555883477477,0.0,0.08390582018154609,0.0,0.07545171613129226,0.03006916784064563,0.0
strawberry,0.003835575426179511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003517463152257059,0.003259778603788193,0.0034723994311781975,0.004169226327702764,0.0,0.0,0.0,0.0012169628627403816,0.0
beetroot,0.015614896667133072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015712242062724785,0.013000605477377592,0.014968934234079375,0.0,0.014564627030982111,0.0,0.0,0.0049240870314864625,0.0
clothing,0.006162552453238948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005823145694866338,0.0,0.0,0.0,0.0,0.0007990465432070191,0.0
fruit,0.012508365473122925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186094335199865,0.011760406689864002,0.0,0.0,0.0,0.002408647700999038,0.0
peony,0.007365281744759937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005446843910839173,0.006943190266393696,0.0,0.0,0.0,0.0,0.0013170210614661872,0.0
syrup,0.003303738630306411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035076526562442508,0.0,0.0,0.0,0.0,0.0,0.0,0.00045409275243671077,0.0
berry,0.007285393542139324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006004695497031762,0.0,0.006713800482746812,0.00662242272212954,0.0,0.0,0.0,0.0017750874829364958,0.0
shallot,0.015172461403134389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016986258876129277,0.015096837642678853,0.014480304901936473,0.0,0.01910322404472071,0.0,0.0,0.005389272457906646,0.0
brick,0.16519058811883308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15731530384333076,0.0,0.0,0.0,0.0,0.021500392797477588,0.0
currant,0.17436004996071053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19224347239043843,0.17338735371513292,0.16772608507601222,0.19535038421588125,0.0,0.0,0.0,0.06020448969054503,0.0
juice,0.0040110702093189305,0.0,0.003783619953757566,0.0,0.0,0.0,0.0,0.0,0.004278408761130996,0.0,0.0,0.0,0.0,0.0,0.0,0.0008048732616138328,0.0
spice,0.006068358095287577,0.0,0.0065844080361008245,0.0,0.0,0.0,0.0,0.0,0.005696019536577146,0.0,0.0,0.0,0.0,0.0,0.0,0.0012232523778643698,0.0
oven,0.000923633512186425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008674116899297704,0.0,0.0,0.0,0.0,0.00011940301347441304,0.0
radish,0.013877974592416138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015376513821840455,0.015076624501065058,0.013768373330869499,0.0,0.01914445688072101,0.0,0.0,0.0051495962084608105,0.0
jam,0.001787768500569454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015803156394859482,0.0,0.0,0.0,0.0,0.0,0.0,0.00022453894267036016,0.0
