,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0025141246313931383,0.0,0.0,0.0,0.0,0.0027758388525588977,0.0,0.0,0.0,0.0,0.0,0.0021126092703236915,0.0,0.0,0.0020420517417540835,0.000629641633068654
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.003711858724358861,0.0,0.0,0.0,0.0,0.0037095672113336394,0.0,0.0,0.0,0.0,0.0,0.003243392114350957,0.0,0.0,0.0032140114347925736,0.0009252552989890688
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.002545801490709533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024034971557033297,0.0,0.0024179735137469915,0.0023762528460787116,0.0006495683337492377
caterpillar,0.0022483293707874015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023177647611242673,0.0,0.0,0.002413493219141443,0.0004653058234035408
frog,0.0005612828098129488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047752380482119926,0.0,0.0,0.0004671642291919011,0.00010039805625506993
tortoise,0.00397943086004204,0.0,0.0,0.0,0.0,0.0038858427904575428,0.0,0.0,0.0,0.0,0.0,0.0034078715628682366,0.0,0.0,0.00352027532210032,0.000986228035697876
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.00015645514178460717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014846599805897075,0.0,0.0,0.00015245304597919898,3.0491612388185124e-05
toad,0.001166375883618923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009832257682538357,0.0,0.0,0.0009806707194698868,0.00020868482475617635
turtle,0.0012054074219542087,0.0,0.0,0.0,0.0,0.0011627717337162468,0.0,0.0,0.0,0.0,0.0,0.0010427611612495666,0.0,0.0,0.0010220060472339637,0.0002955297576102657
