,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
fruit,0.0,0.04391115434487117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052123551266314225,0.0,0.0,0.05166800656545584,0.009846847478442748
berry,0.0,0.009527029753550489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011866332021582209,0.0,0.009152759731192582,0.01193906742216825,0.002832345928566235
blackberry,0.0,0.007000951322153465,0.005682069381124418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008440803483289712,0.0,0.007002277513196082,0.008669389802316579,0.0024530327668053505
olive,0.0,0.018839501286710077,0.016939451585790705,0.0,0.0,0.0,0.0,0.022624565953954845,0.0,0.0,0.0,0.023149404442739382,0.0,0.018791334189415643,0.023500966211193863,0.008256348244653634
apple,0.0,0.009405962342817504,0.00787190302262363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012574376519777943,0.0,0.009837760779758859,0.012772554023598549,0.003497503779238432
watermelon,0.0,0.08691246362264057,0.08384926538251936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10715387232637506,0.0,0.09138333310520702,0.10565845829516357,0.031663826182127035
melon,0.0,0.04154026333496672,0.040499641933359636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057765689072140115,0.0,0.04681429520482767,0.05700667495786409,0.016241770966877216
pear,0.0,0.019828952267528586,0.01743218340969822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023342793550707158,0.0,0.019163273581449092,0.0230458453084727,0.006854203207857051
avocado,0.0,0.08936924607158482,0.08206517762275242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11026290300754552,0.0,0.09151558887664855,0.10890210814981022,0.032141001581889435
mango,0.0,0.17523776123039658,0.16321078883021198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866997549958945,0.0,0.1681202192167479,0.1925489595921281,0.059054498924358614
pineapple,0.0,0.08773359795295313,0.08155261032534263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10091424853642929,0.0,0.09025008900822094,0.1028851803975764,0.03088904841470149
coconut,0.0,0.024050721011745366,0.022123684043639052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026892530859736863,0.0,0.023389155654824845,0.027224371018672578,0.00824536417257458
grape,0.0,0.00668864092992659,0.006264024925557894,0.0,0.0,0.0,0.0,0.0,0.0,0.008946181389779588,0.0,0.007738172573046132,0.0,0.007223888227939263,0.007878180442423234,0.0029826058992448467
serviceberry,0.0,0.013894935020742004,0.010681855255520819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04697308424311242,0.0,0.011806129299285453,0.052286857895562894,0.009042857447614905
