,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.003901254260531559,0.0,0.0,0.0,0.0,0.004311372988634729,0.0,0.0,0.0,0.0,0.0,0.0031133706365498843,0.0,0.0,0.0030313044697966836,0.0009571534903675238
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.003839879821940786,0.0,0.0,0.0,0.0,0.0038410798138192865,0.0,0.0,0.0,0.0,0.0,0.003186543425543311,0.0,0.0,0.003180672663366056,0.0009365450483112959
kingfisher,0.005081706638412881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060816514890853855,0.004336579504757517,0.0,0.0,0.004383096906447968,0.0013255356359135836
insect,0.007248485342708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006505508628568653,0.0,0.0,0.006465068096988347,0.0013479374712177157
crab,0.0019752041700881575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001771027320270014,0.0,0.0019276416773398742,0.0017637030752947831,0.0004958384161995219
caterpillar,0.01569964747292972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015370695296030402,0.0,0.0,0.0161220927219278,0.0031461623660591948
frog,0.011540246162381336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009324435485137502,0.0,0.0,0.009188577389779075,0.0020035506024865275
tortoise,0.007718775853122243,0.0,0.0,0.0,0.0,0.007544258931590922,0.0,0.0,0.0,0.0,0.0,0.0062777624132914584,0.0,0.0,0.006532049421548602,0.0018715231079702152
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.00024277686191358222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021879563124895755,0.0,0.0,0.00022630748783765046,4.5858665400012684e-05
toad,0.0031673352426244824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025357296250742185,0.0,0.0,0.002547557968514067,0.0005500415224141845
turtle,0.00514379921746991,0.0,0.0,0.0,0.0,0.004966477884764398,0.0,0.0,0.0,0.0,0.0,0.004225997003528719,0.0,0.0,0.00417204493325701,0.0012338879359346693
world,0.0013782390726677595,0.0,0.0,0.0,0.0015268051842428957,0.0,0.0,0.0,0.0,0.0,0.0,0.0012584869327392472,0.0,0.0,0.001297455233640364,0.00036406576155268447
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
