,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.00108555145302234,0.0,0.0,0.0,0.0,0.0009602699534548216,0.0,0.0,0.0,0.0,0.0,0.0008120591242302258,0.0,0.0,0.000843985227360666,0.0002467910505378702
kingfisher,0.0038309907469095037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005257933933389,0.002947025232469216,0.0,0.0,0.003101456352709527,0.001009160417698483
insect,0.0245901564450887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019894375569114615,0.0,0.0,0.020585917050506365,0.004338029937647312
crab,0.0029781289780348753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024070870576693875,0.0,0.00247979909889705,0.0024959740676138618,0.0006907326134810117
caterpillar,0.023671261833138595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020891039506275733,0.0,0.0,0.022815816286350953,0.004491874508384353
frog,0.0009848996122892332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007173555630718811,0.0,0.0,0.0007360515969316886,0.0001625537848195202
tortoise,0.001745706372378196,0.0,0.0,0.0,0.0,0.0015088517863181845,0.0,0.0,0.0,0.0,0.0,0.001279860605469373,0.0,0.0,0.0013866131600835734,0.0003947354616166218
parakeet,0.00250630909682031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034356880010773497,0.0018933655158578917,0.0,0.0,0.0019251411861725943,0.0006507002533285431
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0010233371978224507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007385207475432657,0.0,0.0,0.0007725594170368811,0.0001689611574935065
turtle,0.0010575820974536067,0.0,0.0,0.0,0.0,0.0009029959790480724,0.0,0.0,0.0,0.0,0.0,0.0007832389845546642,0.0,0.0,0.0008051228413203205,0.0002365959934917776
world,0.002770733802699207,0.0,0.0,0.0,0.00296259658669214,0.0,0.0,0.0,0.0,0.0,0.0,0.002280625543055493,0.0,0.0,0.002448193358937865,0.000697476619425647
