,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.007183572781533907,0.0,0.0,0.0,0.0,0.0,0.0,0.006479418683912163,0.008845375093037068,0.0,0.00574941014821236,0.0,0.006057246344646742,0.006061562636853234,0.0028840418348711054
crab,0.0046465680879537695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004210098450630404,0.0,0.004146106006861832,0.004308388043429985,0.0012365114706339993
lobster,0.008873251435322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007804741645173856,0.0,0.007089745153242319,0.007799826812399745,0.0022548260747241563
chicken,0.011896355777290776,0.0,0.0,0.0,0.0,0.014191952085521983,0.0,0.0,0.0,0.0,0.013727594510813136,0.0,0.014239184023840511,0.014030532748770003,0.004863258510445458
cob,0.005634680073696807,0.0057787118679456925,0.0,0.0,0.006276430145835161,0.006276430145835161,0.0,0.0,0.0,0.0,0.004550248186159139,0.0,0.0,0.004483835530633306,0.0023571668535789475
mussel,0.004717034420339042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003142423272010277,0.0,0.003005881506217947,0.003018306349565336,0.0009916889677237574
emperor,0.0003484799889062071,0.0003009099067943198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002730244691240289,0.0,0.00026397350758385963,0.0002687858024806853,0.00010394097677779292
jack,0.0005522247422231765,0.0005141099331905599,0.0,0.0,0.0006766765375555303,0.0005755500786751113,0.0007661001555392872,0.000548988592157675,0.0,0.0,0.00048796835124065345,0.0,0.00047680514594179474,0.00048403333553062486,0.0003630326337181724
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.006410020519531906,0.0,0.0045981915001888606,0.0,0.0,0.0,0.0,0.0,0.0,0.005698516324952892,0.0,0.005818231128117678,0.0059847963302372765,0.002036411128787758
lemon,0.0,0.01882497485011134,0.0,0.014992249189854385,0.0,0.0,0.0,0.0,0.0,0.0,0.01629485445214408,0.0,0.016040071566631724,0.016508636102600168,0.0059043418686672644
fruit,0.0,0.08878754840477886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457520489222969,0.0,0.0,0.0762011938504777,0.01711171051053473
citron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamarind,0.0,0.005867857292126786,0.0,0.004674816944424218,0.0,0.0,0.0,0.0,0.0,0.0,0.004987360899247788,0.0,0.004755699625394227,0.005327157446348087,0.0018294923005386502
