,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.009004648039212882,0.0,0.0,0.0,0.0,0.0,0.005717015147821017,0.0,0.0,0.0,0.0051468227953794955,0.0,0.005244557094333026,0.005372039888135744,0.0021775059260630116
sardine,0.010853125828529358,0.0,0.0,0.0,0.0,0.0,0.0,0.006479418683912163,0.008845375093037068,0.0,0.006097555226813363,0.0,0.00680433648730609,0.006368451082605949,0.0032463044573002855
crab,0.004387596331158688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00279064581749118,0.0,0.0029109246571733874,0.0028290723183997425,0.0009227313660159284
lobster,0.01117161302883603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006897786321502721,0.0,0.00663681824037399,0.006828934286895495,0.002252510848400588
chicken,0.016219824587741388,0.0,0.0,0.0,0.0,0.012807371394251544,0.0,0.0,0.0,0.0,0.013138469010320722,0.0,0.014434891230953434,0.01330274447721096,0.004993092907177004
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0013805618555579413,0.0012377697041173143,0.0,0.0,0.0023776131575243544,0.001701213162580102,0.0015658426901653305,0.0013724714803941876,0.001662241072887256,0.0,0.0011869956630594291,0.0,0.001163698525763834,0.001182741193011666,0.0010593677503615297
gooseberry,0.0,0.01070544276187959,0.0,0.008552404407778358,0.0,0.0,0.0,0.0,0.0,0.0,0.008984926357707985,0.0,0.009091907646589093,0.009368889746583087,0.003335969351467008
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.0036628688683039467,0.0,0.0027165769622520307,0.0,0.0,0.0,0.0,0.0,0.0,0.0034534740689233043,0.0,0.003734766601764441,0.0035930275458061866,0.0012257652890749935
