,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.005265115597390425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030385358420056854,0.0,0.0031814093142945466,0.003078732875076609,0.0010402709734833762
lobster,0.002234322605767206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012517515262963448,0.0,0.0012089191496347778,0.0012385959144076972,0.000423827799721859
chicken,0.012274461850182671,0.0,0.0,0.0,0.0,0.009692064838893061,0.0,0.0,0.0,0.0,0.00902151479159274,0.0,0.00994894798696366,0.009129442764255008,0.0035761737308490815
cob,0.021282547592661943,0.012344112100628428,0.0,0.0,0.015691075364587904,0.015691075364587904,0.0,0.0,0.0,0.0,0.01094676871637498,0.0,0.0,0.010680353236092828,0.006188280883923856
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0040775971300727205,0.0026808755521119574,0.0,0.0,0.004398397494110947,0.003741075511388224,0.004979651011005367,0.003568425849024888,0.006074176755939027,0.0,0.002734824052019577,0.0,0.002719791075956625,0.002748406771452826,0.0026945158002201542
gooseberry,0.0,0.004573655463686627,0.0,0.0037481611596387916,0.0,0.0,0.0,0.0,0.0,0.0,0.004076269819659704,0.0,0.004140305211994568,0.004248198941129875,0.0014847564711506832
guava,0.0,0.007253397185272098,0.0,0.006203042496626601,0.0,0.0,0.0,0.0,0.0,0.0,0.006825721543769819,0.0,0.007083809658098916,0.006841644152217423,0.0024434010739989185
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.015648769121385384,0.0,0.01190562065542876,0.0,0.0,0.0,0.0,0.0,0.0,0.015667676683908314,0.0,0.01700751286521224,0.01629210741978385,0.005465834767551325
