,food,communication,plant,no-cat,all,hot,relation,object,measure,mean
sandwich,0.004938524694755303,0.0,0.0,0.0,0.004624469955243013,0.0,0.0,0.0,0.0,0.0010625549611109242
pizza,0.07486775989823514,0.0,0.0,0.0,0.07853550658866223,0.0,0.0,0.0,0.0,0.017044807387433043
dish,0.08932185089265914,0.0,0.0,0.08647900284729777,0.08624282267964561,0.0,0.0,0.08102810969209813,0.0740977947256445,0.0463521756485939
pastry,0.01314875188243409,0.0,0.0,0.0,0.013218515330827903,0.0,0.0,0.0,0.0,0.00292969635702911
syrup,0.004006060070869613,0.0,0.0,0.0,0.003310324385494338,0.0,0.0,0.0,0.0,0.0008129316062626612
pie,0.04476432591331167,0.0,0.0,0.0,0.038878908307451734,0.0,0.0,0.0,0.0,0.009293692691195933
casserole,0.21993060572419526,0.0,0.0,0.0,0.20956198546212973,0.0,0.0,0.1889733173753647,0.0,0.06871843428463219
soup,0.016484231753358683,0.0,0.0,0.0,0.015532243186438753,0.0,0.018664670581618446,0.0,0.0,0.005631238391268431
toast,0.19098021695400919,0.0,0.0,0.0,0.17755717805150845,0.0,0.0,0.16019353665254354,0.15167340073827965,0.0756004813773712
cupcake,0.008842321708089624,0.0,0.0,0.0,0.009960307528463759,0.0,0.0,0.0,0.0,0.002089181026283709
pasta,0.01210334273778499,0.0,0.0,0.0,0.010906883379359236,0.0,0.0,0.0,0.0,0.002556691790793803
tea,0.0006068731722856343,0.0,0.0005430539864591157,0.0,0.0005951960104062109,0.0,0.0007593554283788006,0.0005388442634548738,0.0,0.0003381469845538484
chocolate,0.00728898161398733,0.0,0.0,0.0,0.006384087954635009,0.0,0.008371757389463363,0.0,0.0,0.0024494252175650782
pancake,0.039122130952974135,0.0,0.0,0.0,0.03679418768376217,0.0,0.0,0.0,0.0,0.008435146515192924
snack,0.005346238094075839,0.0,0.0,0.0,0.005121632075623476,0.0,0.0,0.0,0.0,0.001163096685522146
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasoning,0.005059441754136609,0.0,0.0,0.0,0.004461109114175933,0.0,0.0,0.0,0.0,0.0010578389853680603
flatbread,0.03397519084188468,0.0,0.0,0.0,0.03551342641084927,0.0,0.0,0.0,0.0,0.0077209574725259945
water,0.004691957256947201,0.0,0.0,0.0,0.004950673600377678,0.0,0.005912699245960818,0.004447308293550149,0.0,0.002222515377426205
quesadilla,0.053207741565402984,0.0,0.0,0.0,0.05346010248809613,0.0,0.0,0.0,0.0,0.011851982672611013
ingredient,0.0007466832405871126,0.0,0.0,0.0,0.0007894672425402632,0.0,0.0,0.0007093400988734679,0.0,0.0002494989535556493
roast,0.32099024625058264,0.0,0.0,0.0,0.29515641079088034,0.0,0.0,0.0,0.0,0.06846073967127367
dough,0.030790734193548525,0.0,0.0,0.0,0.02882378996760096,0.0,0.0,0.0,0.026472545476696644,0.00956522995976068
marinade,0.015103662945655053,0.0,0.0,0.0,0.013858676437105802,0.0,0.0,0.0,0.0,0.0032180377091956505
dessert,0.02363879617375829,0.0,0.0,0.0,0.022062220992947773,0.0,0.0,0.0,0.0,0.005077890796300674
pudding,0.029592005338383097,0.0,0.0,0.0,0.028326881268040408,0.0,0.0,0.0,0.0,0.0064354318451581675
drink,0.0006080651672601454,0.0,0.0,0.0,0.0005922441888947718,0.0,0.0007389193678324921,0.0,0.0005261211713463458,0.00027392776614819505
meat,0.02693204554384536,0.0,0.0,0.0,0.025633529897898393,0.0,0.0,0.023217199481056106,0.0,0.00842030832475554
sauce,0.012016901666754573,0.0,0.0,0.0,0.010070429157859447,0.0,0.0,0.0,0.0,0.0024541478694015575
butter,0.012757448896355729,0.0,0.0,0.0,0.010313642853798214,0.0,0.0,0.009563928406673902,0.0,0.0036261133507586494
puree,0.005056184333304745,0.0,0.0,0.0,0.0043825941534705705,0.0,0.0,0.0,0.0,0.0010487531651972573
coffee,0.004148566715212615,0.0,0.0035254199990353416,0.003846793596878066,0.003977635528120894,0.0,0.005027331490543734,0.003633383456698306,0.0,0.0026843478651654394
tortilla,0.009885045580737495,0.0,0.0,0.0,0.008834825942917778,0.0,0.0,0.0,0.0,0.0020799857248505857
fondue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.06838408158425686,0.0,0.0,0.0,0.06372915696176575,0.0,0.0,0.05919543725829241,0.0,0.02125651953381278
custard,0.03591227326631464,0.0,0.0,0.0,0.032550100554713725,0.0,0.0,0.0,0.0,0.007606930424558707
popcorn,0.01942552071119398,0.0,0.017335259636291407,0.0,0.019066472989525234,0.0,0.0,0.01742604027743946,0.0,0.00813925484605001
noodle,0.0016946509049204925,0.0,0.0,0.0,0.001621358336391434,0.0,0.0,0.0,0.0,0.00036844547125688075
bread,0.044904331405966544,0.0,0.0,0.0,0.038220104903940864,0.0,0.0,0.0,0.03198136718667576,0.012789533721842574
