,food,communication,plant,no-cat,all,hot,relation,object,measure,mean
sandwich,0.0009987058779152614,0.0,0.0,0.0,0.0008502202082266317,0.0,0.0,0.0,0.0,0.0002054362317935437
pizza,0.0005841926277658672,0.0,0.0,0.0,0.0005571297725803746,0.0,0.0,0.0,0.0,0.0001268136000384713
dish,0.002616070132006365,0.0,0.0,0.002087424206658912,0.0022963797882292526,0.0,0.0,0.002204566336734897,0.0017885674588948672,0.0012214453247249215
pastry,0.001329520110143637,0.0,0.0,0.0,0.001215128324520906,0.0,0.0,0.0,0.0,0.00028273871496272703
syrup,0.0009721629808127991,0.0,0.0,0.0,0.0007303335644272232,0.0,0.0,0.0,0.0,0.00018916628280444693
pie,0.0004276809977775127,0.0,0.0,0.0,0.00033769999337186876,0.0,0.0,0.0,0.0,8.504233234993128e-05
casserole,0.007412672213069388,0.0,0.0,0.0,0.00642141465726225,0.0,0.0,0.005916779821444241,0.0,0.0021945407435306533
soup,0.001132154568441258,0.0,0.0,0.0,0.0009698404151736945,0.0,0.00105649078763878,0.0,0.0,0.00035094286347263695
toast,0.006348734191869817,0.0,0.0,0.0,0.005366190436673155,0.0,0.0,0.004946973081414546,0.004155435636665195,0.002313037038513635
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0019155362580487714,0.0,0.0,0.0,0.0015693318882580311,0.0,0.0,0.0,0.0,0.00038720757181186693
tea,0.0011045384150026964,0.0,0.0008145809796886735,0.0,0.000984854291888189,0.0,0.0011390331425682008,0.0009110494385998762,0.0,0.0005504506964164039
chocolate,0.0006803229614428972,0.0,0.0,0.0,0.0005417216851287781,0.0,0.0006439813376510281,0.0,0.0,0.00020733622046918926
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0023605365987948994,0.0,0.0,0.0,0.002264383961160044,0.0,0.0024516070044227783,0.002078498536831915,0.0,0.0010172251223566262
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ingredient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roast,0.010078925453836428,0.0,0.0,0.0,0.008425655583063272,0.0,0.0,0.0,0.0,0.002056064559655522
dough,0.0005660668671332459,0.0,0.0,0.0,0.00048175680761679816,0.0,0.0,0.0,0.0004010991738893431,0.00016099142762659858
marinade,0.0026180375535857473,0.0,0.0,0.0,0.002183958726415955,0.0,0.0,0.0,0.0,0.0005335551422224113
dessert,0.0031869442994645796,0.0,0.0,0.0,0.002704129166240893,0.0,0.0,0.0,0.0,0.0006545637184117192
pudding,0.001196863901566755,0.0,0.0,0.0,0.0010415933987340084,0.0,0.0,0.0,0.0,0.00024871747781119596
drink,0.001106707903291129,0.0,0.0,0.0,0.0009799699948942547,0.0,0.0011083790517487382,0.0,0.0007891817570195186,0.00044269318966151563
meat,0.003921409646202422,0.0,0.0,0.0,0.003393207144511599,0.0,0.0,0.003140353231927675,0.0,0.0011616633358490773
