,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,7,0.01,0.01,i
1,pot,7,0.01,0.01,r
2,prepared,7,0.01,0,r
3,pie,7,0.01,0.01,r
4,pieces,6,0.01,0.01,r
5,low,6,0,0,u
6,cover,6,0.01,0,r
7,gift,6,0.01,0.01,u
8,add,6,0.02,0.02,r
9,place,6,0.01,0,u
10,cool,6,0.01,0,r
11,potato,6,0.02,0.02,i
12,about,6,0.01,0,u
13,coffee,6,0.01,0.01,i
14,chicken,6,0.02,0.02,i
15,fruit,6,0.02,0.01,i
16,cook,6,0.01,0.01,p
17,slice,6,0.03,0.03,r
18,or,6,0.02,0.01,u
19,kitchen,6,0.07,0.07,r
20,cook,6,0.01,0.01,p
21,cooking,5,0.01,0.01,p
22,cooked,3,0.01,0.01,p
