,context,n_concepts,mean_tfidf,mean_diff,evidence
0,debut,6,0.01,0.01,-
1,nina,5,0.01,0.01,-
2,classical,5,0.01,0.01,-
3,acclaimed,5,0.01,0.01,-
4,standard,5,0.01,0.01,-
5,singing,5,0.02,0.02,-
6,enters,5,0.01,0.01,-
7,beautiful,5,0.01,0.01,-
8,performing,5,0.01,0.0,-
9,tv,5,0.01,0.0,-
10,going,5,0.01,0.01,-
11,la,5,0.01,0.01,-
12,star,5,0.01,0.0,-
13,now,5,0.01,0.01,-
14,so,5,0.01,0.0,-
15,included,5,0.01,0.0,-
16,memorable,5,0.0,0.0,-
17,esther,5,0.01,0.0,-
18,roles,5,0.04,0.03,-
19,rita,5,0.01,0.01,-
20,female,4,0.01,0.01,-
