,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.0,0.0004250693291802257,0.0,0.0,0.0004101235780635241,0.0004349149392094413,0.0004217153747458711,0.0,0.00040458554287704546,0.0,0.0,0.0,0.00017470073033967564
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0005338335842645928,0.0,0.0,0.0004955039179268087,0.0,0.0,0.0,0.0004915075002890366,0.0,0.0,0.0,0.0001267370835400365
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog,0.0,0.002457255030601635,0.0,0.0,0.002330316585023652,0.0,0.0,0.0,0.002277794856061505,0.0,0.0,0.0,0.0005887805393072328
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.001268657342250186,0.0006279496644273013,0.0,0.0,0.0006225429205538525,0.0,0.0,0.0,0.0006060472388420648,0.0,0.0,0.0,0.00026043309717278373
silverback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0015787687451306166,0.0008526448861896544,0.0,0.0,0.0009063173403585053,0.0,0.0,0.0009262963288571581,0.0008875582397506904,0.0,0.0,0.0,0.0004292987950238855
buffalo,0.0,0.0001963758586334503,0.0,0.0,0.0001941330003043635,0.0,0.0,0.0,0.0001898180954684641,0.00020591143271887413,0.0,0.0,6.551986559376266e-05
stallion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
watchdog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bobcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0034017381861045806,0.0021378017103379763,0.0,0.0,0.002066576327058144,0.0,0.0,0.0,0.002038794975572382,0.0,0.0,0.0,0.000803742599922757
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangabey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,0.0,0.00047531221001911617,0.0005943405583525904,0.0,0.00048555742953196914,0.0004715884726051069,0.0005137394222965765,0.0,0.0004753665281047518,0.0004600127524139583,0.0,0.0,0.0002896597811103391
mammal,0.0,0.0009231855046969279,0.0,0.0,0.0008228445436171928,0.0,0.0,0.0,0.0008071426349487625,0.0,0.0,0.0,0.00021276439027190694
gnu,0.0,0.00038953843056738105,0.0,0.0,0.0003902380609639975,0.0,0.0,0.0,0.0003847084758765451,0.0,0.0,0.0,9.704041395066031e-05
ounce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pussy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pinniped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
groundhog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potoroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bearcat,0.029459610906765663,0.016527430534891013,0.0,0.0,0.0166069218440157,0.0,0.0,0.0,0.01643648787907607,0.0,0.0,0.0,0.006585870930395703
rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0006757040337143645,0.0,0.0,0.0006519619672811307,0.0,0.0,0.0,0.0006121285927640767,0.0,0.0,0.0,0.00016164954947996433
lion,0.0021470124615691408,0.0012547773421830975,0.0,0.0,0.001167520901805948,0.0,0.0,0.0,0.0011339135579607532,0.0,0.0,0.0,0.00047526868862657833
ape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.0,0.00028777965051769255,0.0,0.0,0.0002524009105851042,0.0,0.0,0.0,0.000250249349532855,0.0,0.0,0.0,6.586915921963765e-05
chow,0.0,0.0007910928007539913,0.0,0.0,0.0007663494955973314,0.0,0.0,0.0,0.0007419599691918138,0.0009112141341555053,0.0,0.0,0.00026755136664155353
howler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wren,0.0,0.0014674450702127219,0.0,0.0015098570926252814,0.0014340450694647795,0.0,0.0,0.0,0.001432083435537751,0.0,0.0,0.0,0.00048695255565337777
flycatcher,0.0,0.0013856035042866149,0.0,0.0017911239873060355,0.0012071234887578576,0.0,0.0,0.0,0.0012043939407227792,0.0,0.0,0.0,0.00046568707675610717
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caracara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vulture,0.0,0.0019359893038335,0.0,0.0020249654518350183,0.0018258906507057403,0.0,0.0,0.0,0.001777166626732266,0.0,0.0,0.0,0.0006303343360922103
avocet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kite,0.0,0.04788660201211847,0.0,0.05248069018060758,0.04538910397993442,0.04543524601906886,0.0,0.0,0.0453251075910306,0.0,0.0,0.0,0.019709729148563327
