,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
goddess,0.006675609248066915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005823691146587709,0.0,0.0,0.0,0.0,0.0009614846457426633,0.0
policewoman,0.04390017001050723,0.0,0.0,0.0,0.0,0.0,0.0,0.04379185737816204,0.0,0.0,0.0,0.0,0.0,0.006745540568359174,0.0
coquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masseuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandma,0.001685685077527496,0.0,0.0,0.0,0.0,0.0,0.0,0.0016758908148100794,0.0,0.0,0.0,0.0,0.0,0.00025858276094904427,0.0
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
housemaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bride,0.02496326791857208,0.0,0.0,0.0,0.0,0.0,0.0,0.02507106026052704,0.0,0.0,0.0,0.0,0.0,0.003848794475315317,0.0
cinderella,0.0027169545472787555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002663459144960865,0.0,0.0,0.0,0.0,0.00041387797632612465,0.0
concubine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empress,0.0008741454189512256,0.0,0.0,0.0,0.0,0.0,0.0,0.0008773294454521005,0.0,0.0,0.0,0.0,0.0,0.00013472883572333277,0.0
stepmother,0.0068928622991209386,0.0,0.0,0.0,0.0,0.0,0.0,0.006873136248324957,0.0,0.0,0.0,0.0,0.0,0.0010589229651881459,0.0
bitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mommy,0.002306814957536521,0.0,0.0,0.0,0.0,0.0,0.0,0.0022974483095870427,0.0,0.0,0.0,0.0,0.0,0.00035417409747104335,0.0
tigress,0.10441546107007957,0.0,0.0,0.10648281132000405,0.0,0.08940355782410327,0.0,0.1044418957076022,0.0,0.0,0.0,0.0,0.0,0.031134132763214546,0.0
superwoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewe,0.008555860882195789,0.0,0.0,0.007682934102236158,0.0,0.007260059180157428,0.0,0.008493756705668539,0.0,0.0,0.0,0.0,0.0,0.0024609700669429163,0.0
matriarch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
witch,0.00038814872846945674,0.0,0.0,0.0,0.0,0.0,0.0,0.0003883249141660356,0.0004388271839193541,0.0,0.0,0.0,0.0,9.348467896575741e-05,0.0
mother,0.042157267744757074,0.0,0.0,0.0,0.0,0.0,0.0,0.041882487013802185,0.04415425838536083,0.0,0.0,0.0,0.0,0.0098610779341477,0.0
housewife,0.05803618554908286,0.0,0.0,0.0,0.0,0.0,0.0,0.05784826844256349,0.059487166213998556,0.0,0.0,0.0,0.0,0.013490124631203453,0.0
businesswoman,0.004814782857774575,0.0,0.0,0.0,0.0,0.0,0.0,0.004812371744537412,0.0,0.0,0.0,0.0,0.0,0.000740550354023999,0.0
soprano,0.0011301671666651756,0.0,0.0,0.0,0.0,0.0,0.0,0.0011329575361796267,0.0,0.0025895498884005545,0.0,0.0,0.0,0.0003732826608650275,0.0
girl,0.04166910950458357,0.0,0.0,0.0,0.0,0.0,0.0,0.04157231976279988,0.0433861423716355,0.0,0.0,0.0,0.0,0.009740582433770687,0.0
begum,0.0005817402924943862,0.0,0.0,0.0,0.0,0.0,0.0,0.0005837436424459336,0.0007278712229605587,0.0,0.0,0.0,0.0,0.0001456427044539137,0.0
lesbian,0.0016458618540863496,0.0,0.0,0.0,0.0,0.0,0.0,0.0016460824528696878,0.0,0.0,0.0,0.0,0.0,0.00025322648515046446,0.0
