,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
buck,0.0004613813898084799,0.0,0.0,0.000474412357157209,0.0,0.000476509464376898,0.0,0.000464511415738577,0.0,0.0,0.0,0.0,0.0007394625689554868,0.00020125209200281928,0.0
god,0.001024247527507232,0.0,0.0,0.0,0.0,0.0,0.0,0.0010222314867751698,0.0,0.0,0.0,0.0,0.0,0.00015742146263710786,0.0
tiger,0.0003038121800877189,0.0,0.0,0.00028238360632423933,0.0,0.00027987111010361633,0.0,0.00030733969760888755,0.0,0.0,0.0,0.0,0.0,9.026204570188169e-05,0.0
master,0.0003810216198564246,0.0,0.0,0.0,0.0,0.0,0.0,0.0003793299215975323,0.0,0.0,0.0,0.0,0.0,5.848858011184284e-05,0.0
czar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policeman,0.0020642753561356526,0.0,0.0,0.0,0.0,0.0,0.0,0.0020844091463934804,0.0,0.0,0.0,0.0,0.0,0.0003191295771176256,0.0
prince,0.0003340912975513764,0.0,0.0,0.0,0.0,0.0,0.0,0.00033539452525867963,0.0,0.0,0.0,0.0,0.0,5.149890944692739e-05,0.0
homeboy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathologist,0.0017686835766393704,0.0,0.0,0.0,0.0,0.0,0.0,0.0017938528387672996,0.0,0.0,0.0,0.0,0.0,0.00027404126272359,0.0
scorer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leader,5.7295349067132424e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.755005138382307e-05,0.0,0.0,0.0,0.0,0.0,8.834261573150422e-06,0.0
biologist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.0019885832692281896,0.0,0.002596896805177771,0.0,0.0,0.0018917890193123346,0.0,0.001999526929669761,0.0,0.0,0.0,0.0,0.0,0.0006520612325683119,0.0
rover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driver,0.002803430804336089,0.0,0.0,0.0,0.0,0.0,0.0,0.0028387976550403806,0.0,0.0028455728752527433,0.0,0.0,0.0,0.000652907794971478,0.0
liberal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guard,0.0010164164073819602,0.0,0.0,0.0,0.0,0.0,0.0,0.0010302732695985253,0.0,0.0,0.0,0.0,0.0,0.00015743766746003734,0.0
sidekick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hematologist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
godfather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bassist,0.0008593433436553135,0.0,0.0,0.0,0.0,0.0,0.0,0.000858410627755435,0.0,0.0,0.0,0.0,0.0,0.00013213492087774987,0.0
federalist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
