,context,n_concepts,mean_tfidf,mean_diff,evidence
0,drove,43,0.02,0.02,-
1,driving,42,0.03,0.02,-
2,wheel,42,0.03,0.03,-
3,parked,41,0.04,0.04,-
4,drivers,40,0.08,0.08,-
5,road,38,0.02,0.02,-
6,drive,38,0.04,0.03,-
7,drives,38,0.02,0.02,-
8,bicycle,38,0.03,0.03,-
9,driven,37,0.02,0.01,-
10,streets,37,0.01,0.01,-
11,past,37,0.01,0.01,-
12,mini,36,0.01,0.01,-
13,rolled,36,0.01,0.01,-
14,son,35,0.01,0.0,-
15,roads,35,0.01,0.01,-
16,traveling,34,0.02,0.02,-
17,wheeled,34,0.03,0.03,-
18,speeding,33,0.02,0.01,-
19,vehicle,33,0.03,0.02,-
20,wheel,42,0.03,0.03,-
21,wheels,31,0.02,0.02,-
