,animal,tool,mammal,no-cat,measure,relation,object,weapon,communication,vehicle,all,mean
pipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0014168839746607962,0.0,0.0,0.0,0.0014226560889142607,0.00025814000577955063
skateboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nozzle,0.0,0.0,0.0,0.0,0.0,0.0,0.002455256524184634,0.0,0.0,0.0,0.002410022731640979,0.00044229811416596475
washer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cylinder,0.0,0.0,0.0,0.0,0.0,0.0,0.0004861063480847845,0.0,0.0,0.0,0.00048746978453522333,8.850692114727344e-05
bead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0,0.0,0.016559480827847077,0.0,0.0,0.012131567668368435,0.01656350679993321,0.004114050481468065
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0034544627116732036,0.0,0.0,0.0,0.0034808161813240906,0.0006304798993633904
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.02359055162989111,0.0,0.0,0.015477730667435574,0.023536605735262152,0.005691353457508077
tappet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.0,0.014222832688638326,0.0,0.0,0.010154050602838046,0.014091240515474541,0.003497102164268265
millstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0009434895772694645,0.0007160255795049896,0.0009472463748282359,0.0,0.0009405082288809803,0.0003224790691348791
axle,0.0,0.0,0.0,0.0,0.0,0.0,0.0007545111981072051,0.0,0.0,0.0,0.000757579710313459,0.000137462809856424
lever,0.0,0.0,0.0,0.0,0.0,0.0,0.0026600796698639487,0.0,0.0,0.0,0.002633593186077311,0.0004812429869037509
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.0,0.0,0.0,0.007929864810102131,0.0,0.0,0.0056321306977230754,0.007851229190751303,0.0019466567907796828
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.002398396219163594,0.0,0.0,0.0016554277077084072,0.002410372499203512,0.0005876542205523193
grindstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0007470125841529679,0.0,0.0,0.0,0.0007483977214137702,0.000135946391415158
propeller,0.0,0.0,0.0,0.0,0.0,0.0,0.00044931212529168,0.0,0.0,0.0,0.0004470095670571176,8.148379021352707e-05
flywheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloth,0.0,0.0,0.0,0.0,0.0,0.0,0.002801703133068623,0.0,0.0,0.0,0.002838389363040274,0.0005127356814644452
grip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sprocket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lathe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windscreen,0.0,0.0,0.0,0.0,0.0,0.0,0.007238389080058427,0.0,0.0,0.0,0.007551774043731358,0.0013445602839808897
quoit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,0.0,0.0,0.0,0.0,0.0,0.0,0.023084465589828032,0.0,0.0,0.018854797031500208,0.0229744782830626,0.00590124917312644
ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0010802314265227853,0.0008391322702692826,0.0,0.0,0.0010724495235661924,0.00027198302003256914
bolt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noseband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0003810168628846574,0.0,0.0,0.0,0.0003817242393624011,6.934010020427805e-05
peg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kickstand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ski,0.0,0.0,0.0,0.0,0.0,0.0,0.0012057001552006304,0.0,0.0,0.0,0.0012289171917290365,0.0002213288497208788
driveshaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferrule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gearshift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projectile,0.0,0.0,0.0,0.0,0.0,0.0,0.0016178328507674567,0.0017499467569924733,0.0,0.0013768264478929545,0.0016620033731308968,0.0005824190389803438
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaporizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0007080861680401908,0.0,0.0,0.0,0.0007017267658362528,0.00012816481217058578
handlebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piston,0.0,0.0,0.0,0.0,0.0,0.0,0.0014866309296684987,0.0,0.0,0.0,0.001486658472773069,0.00027029903658559707
fireplace,0.0,0.0,0.0,0.0,0.0,0.0,0.001316062849130441,0.0,0.0,0.0,0.0013316842743956434,0.00024070428395691677
tile,0.0,0.0,0.0,0.0,0.0,0.0,0.0021753308060287035,0.0,0.0,0.0,0.0021945450797925163,0.00039726144416556543
fusee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kiln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breechblock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chamfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
