,all,relation,no-cat,food,object,plant,hot,communication,measure,mean,median
glass,0.0056181249633120425,0.0,0.0,0.0,0.005763285289742725,0.0,0.0,0.0,0.006652515902022729,0.0020037695727863885,0.0
charcoal,0.01937065836802817,0.019702519643117648,0.0,0.0,0.018802229500762987,0.0,0.0,0.0,0.0,0.006430600834656535,0.0
sandwich,0.005239703231559953,0.0,0.0,0.005494937702951114,0.0,0.0,0.0,0.0,0.0,0.0011927378816123406,0.0
grill,0.1202033510314095,0.0,0.0,0.0,0.12335787627576057,0.0,0.0,0.0,0.0,0.027062358589685562,0.0
kitchen,0.021638546148562365,0.0,0.0,0.0,0.02228948548421085,0.0,0.0,0.0,0.0,0.004880892403641469,0.0
pizza,0.0025750928772997833,0.0,0.0,0.002410696307403571,0.0,0.0,0.0,0.0,0.0,0.0005539765760781504,0.0
dish,0.00833959375356222,0.0,0.009840714117106299,0.008482042857263148,0.008537581570220642,0.0,0.0,0.0,0.008431818020504373,0.00484797225762852,0.00659378300559537
pastry,0.0009360680543620825,0.0,0.0,0.0009143871010489662,0.0,0.0,0.0,0.0,0.0,0.0002056061283790054,0.0
syrup,0.016034351507944935,0.0,0.0,0.01905544607052257,0.0,0.0,0.0,0.0,0.0,0.0038988663976075003,0.0
pie,0.001040582033599875,0.0,0.0,0.0011765628357114798,0.0,0.0,0.0,0.0,0.0,0.00024634942992348384,0.0
casserole,0.06678051489945738,0.0,0.0,0.06882460773401408,0.06561678861245696,0.0,0.0,0.0,0.0,0.022357990138436493,0.0
soup,0.021417203062754995,0.021548787708014886,0.0,0.022321228846787243,0.0,0.0,0.0,0.0,0.0,0.007254135513061903,0.0
toast,0.03410399918694325,0.0,0.0,0.03602270098972683,0.03352658281715715,0.0,0.0,0.0,0.03428234400248786,0.015326180777368343,0.007663090388684172
tray,0.002233271118232166,0.0,0.0,0.0,0.00219227455990058,0.0,0.0,0.0,0.0,0.0004917272975703051,0.0
cookware,0.015476996188427133,0.0,0.0,0.0,0.013844822394250555,0.0,0.0,0.0,0.0,0.0032579798425197435,0.0
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.02176068610831423,0.0,0.0,0.023713631246780505,0.0,0.0,0.0,0.0,0.0,0.005052701928343859,0.0
oven,0.07774155940762253,0.0,0.0,0.0,0.08719524086149472,0.0,0.0,0.0,0.0,0.01832631114101303,0.0
tea,0.0025289253330545735,0.0027014382071744777,0.0,0.002532181026787731,0.002494689417619183,0.0027152699322955786,0.0,0.0,0.0,0.0014413893241035048,0.001968039370861344
chocolate,0.014397284795533073,0.015807831884824437,0.0,0.016142448303857984,0.0,0.0,0.0,0.0,0.0,0.00514972944269061,0.0
vapor,0.03142611320413125,0.02767799733977565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006567123393767434,0.0
firewood,0.033869824463313394,0.0,0.0,0.0,0.0,0.0,0.03883437104413377,0.0,0.0,0.008078243945271908,0.0
pancake,0.0044667039676620085,0.0,0.0,0.0046639218986128245,0.0,0.0,0.0,0.0,0.0,0.001014513985141648,0.0
snack,0.002611353209936219,0.0,0.0,0.0026768642842831623,0.0,0.0,0.0,0.0,0.0,0.0005875797215799312,0.0
flame,0.017948852860605338,0.0,0.0,0.0,0.0,0.0,0.02553537036925379,0.0,0.0,0.004831580358873236,0.0
heat,0.07932223212913088,0.0,0.0,0.0,0.07893062360548013,0.0,0.0,0.0,0.08915175868108653,0.027489401601744172,0.0
chutney,0.0033607233989339257,0.0,0.0,0.004258125211656502,0.0,0.0,0.0,0.0,0.0,0.0008465387345100476,0.0
pot,0.029734505323158442,0.031015479378185672,0.0,0.0,0.02612474173793902,0.0,0.0,0.0,0.03429846536124249,0.013463687977836182,0.006731843988918091
seasoning,0.008529652828313207,0.0,0.0,0.009499744510817833,0.0,0.0,0.0,0.0,0.0,0.00200326637101456,0.0
kettle,0.04592109641390312,0.0,0.0,0.0,0.04443773203144445,0.0,0.0,0.0,0.04502210056073813,0.015042325445120634,0.0
jungle,0.0030918358691685876,0.0,0.0,0.0,0.002970760219580495,0.0,0.0,0.0,0.0,0.000673621787638787,0.0
tandoor,0.016054568848792545,0.0,0.0,0.0,0.01646274385608778,0.0,0.0,0.0,0.0,0.003613034744986703,0.0
spiciness,0.022583813440362602,0.0,0.0,0.0,0.0,0.0,0.03915062902340371,0.0,0.0,0.006859382495974034,0.0
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.06969508907178429,0.0,0.0,0.0,0.06930935465103587,0.0,0.0,0.0,0.0,0.015444938191424463,0.0
outfit,0.00315531147104372,0.0,0.0,0.0,0.002956297736834689,0.0,0.0,0.0,0.0,0.0006790676897642677,0.0
water,0.022368812134058773,0.02236857702545283,0.0,0.020818694426271205,0.02189541040695528,0.0,0.0,0.0,0.0,0.009716832665859786,0.004858416332929893
stove,0.14130366314486983,0.0,0.0,0.0,0.14622885015314624,0.0,0.0,0.0,0.0,0.0319480570331129,0.0
quesadilla,0.04542927208049355,0.0,0.0,0.0444019079514442,0.0,0.0,0.0,0.0,0.0,0.00998124222577086,0.0
ingredient,0.002683490714817435,0.0,0.0,0.002492431329879463,0.0026272277289273306,0.0,0.0,0.0,0.0,0.0008670166415138033,0.0
geyser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roast,0.010663230140961915,0.0,0.0,0.011388046022528948,0.0,0.0,0.0,0.0,0.0,0.002450141795943429,0.0
enchiladas,0.006548373755325015,0.0,0.0,0.0,0.0,0.0,0.006572094153850384,0.0,0.0,0.0014578297676861554,0.0
tub,0.005667236697051283,0.0,0.0,0.0,0.005627856052572149,0.0,0.0,0.0,0.005503182474449602,0.0018664750248970035,0.0
