,all,relation,no-cat,food,object,plant,hot,communication,measure,mean,median
glass,0.003944888237843475,0.0,0.0,0.0,0.004199084083451909,0.0,0.0,0.0,0.005226976780160716,0.0014856610112729,0.0
charcoal,0.028563208186733982,0.03250915741114412,0.0,0.0,0.02876822700729696,0.0,0.0,0.0,0.0,0.009982288067241673,0.0
sandwich,0.02575419850584814,0.0,0.0,0.026860244716944603,0.0,0.0,0.0,0.0,0.0,0.005846049246976971,0.0
grill,0.09055165430646767,0.0,0.0,0.0,0.0964245990963283,0.0,0.0,0.0,0.0,0.02077513926697733,0.0
kitchen,0.014719806831465267,0.0,0.0,0.0,0.015733133234513398,0.0,0.0,0.0,0.0,0.003383660007330963,0.0
pizza,0.015341940634073657,0.0,0.0,0.0142835364068451,0.0,0.0,0.0,0.0,0.0,0.0032917196712131955,0.0
dish,0.01919678675321212,0.0,0.025347293938001073,0.019417349638859497,0.020391992152889168,0.0,0.0,0.0,0.021718319143723387,0.011785749069631694,0.015491267911421908
pastry,0.0020913469732596803,0.0,0.0,0.002031676710117637,0.0,0.0,0.0,0.0,0.0,0.0004581137425974797,0.0
syrup,0.010055766842811663,0.0,0.0,0.011884714621383302,0.0,0.0,0.0,0.0,0.0,0.0024378312737994407,0.0
pie,0.009531886183542835,0.0,0.0,0.010718240409458242,0.0,0.0,0.0,0.0,0.0,0.002250014065889009,0.0
casserole,0.007736289316573982,0.0,0.0,0.00792925760662735,0.007887494240877639,0.0,0.0,0.0,0.0,0.002617004573786552,0.0
soup,0.03917018568397298,0.04409984461175139,0.0,0.04059913859619737,0.0,0.0,0.0,0.0,0.0,0.013763240987991303,0.0
toast,0.023089261235220187,0.0,0.0,0.024254193859008087,0.023552399680563815,0.0,0.0,0.0,0.025971472729157473,0.010763036389327728,0.005381518194663864
tray,0.019958142025329622,0.0,0.0,0.0,0.020328940632628786,0.0,0.0,0.0,0.0,0.004476342517550935,0.0
cookware,0.006915687162484545,0.0,0.0,0.0,0.006419145157958063,0.0,0.0,0.0,0.0,0.0014816480356047341,0.0
cupcake,0.015128204750540837,0.0,0.0,0.01311618750493371,0.0,0.0,0.0,0.0,0.0,0.0031382658061638387,0.0
pasta,0.02845015096618655,0.0,0.0,0.030833008038567825,0.0,0.0,0.0,0.0,0.0,0.006587017667194931,0.0
oven,0.03441671663296983,0.0,0.0,0.0,0.04005438925349895,0.0,0.0,0.0,0.0,0.008274567320718752,0.0
tea,0.044974644863959246,0.05375862032277211,0.0,0.04478497429339958,0.04603512901648406,0.05403387165268201,0.0,0.0,0.0,0.027065248905477443,0.03592511159943851
chocolate,0.08241996648206362,0.10126176366800582,0.0,0.09190244917165331,0.0,0.0,0.0,0.0,0.0,0.030620464369080305,0.0
vapor,0.00732643573243821,0.007220347132115387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016163092071726217,0.0
firewood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.013971205289572883,0.0,0.0,0.014507875366667746,0.0,0.0,0.0,0.0,0.0,0.0031643422951378474,0.0
snack,0.017891669157178675,0.0,0.0,0.01823968933573854,0.0,0.0,0.0,0.0,0.0,0.004014595388101913,0.0
flame,0.011549092324466029,0.0,0.0,0.0,0.0,0.0,0.01427795498531428,0.0,0.0,0.0028696719233089235,0.0
