,context,n_concepts,mean_tfidf,mean_diff
0,was,38,0.02,0.01
1,he,35,0.02,0.01
2,his,34,0.02,0.01
3,hand,33,0.02,0.02
4,who,33,0.01,0.01
5,the,32,0.04,0.02
6,three,32,0.01,0.01
7,hammer,31,0.09,0.09
8,left,31,0.01,0.01
9,work,30,0.01,0.01
10,on,30,0.02,0.01
11,only,30,0.01,0.01
12,time,30,0.01,0.01
13,first,29,0.01,0.01
14,single,29,0.01,0.01
15,tools,29,0.02,0.02
16,two,29,0.02,0.01
17,by,29,0.02,0.01
18,tool,29,0.03,0.03
19,him,29,0.01,0.01
20,cooking,1,0.02,0.01
