,context,n_concepts,mean_tfidf,mean_diff
0,ii,21,0.01,0.01
2,weather,20,0.0,0.0
1,during,20,0.01,0.01
3,december,19,0.01,0.01
4,ship,19,0.05,0.05
14,attacking,18,0.0,0.0
22,rescued,18,0.02,0.02
21,washed,18,0.0,0.0
19,dry,18,0.01,0.0
18,merchant,18,0.03,0.03
17,waters,18,0.01,0.01
16,island,18,0.02,0.01
15,ocean,18,0.02,0.02
20,survivors,18,0.01,0.01
13,craft,18,0.01,0.01
8,february,18,0.01,0.0
12,marie,18,0.01,0.0
5,15,18,0.01,0.01
7,point,18,0.01,0.01
6,then,18,0.01,0.0
