,context,n_concepts,mean_tfidf,mean_diff
0,with,66,0.02,0.01
1,was,66,0.02,0.01
2,could,63,0.01,0.01
3,were,62,0.01,0.01
4,from,61,0.01,0.01
5,car,61,0.04,0.04
6,and,60,0.03,0.01
7,two,60,0.03,0.02
8,rear,60,0.03,0.03
9,time,60,0.01,0.01
10,up,60,0.01,0.01
11,they,60,0.01,0.01
12,for,59,0.02,0.01
13,into,59,0.01,0.01
14,full,59,0.01,0.01
15,drive,59,0.02,0.02
16,truck,59,0.06,0.06
17,in,59,0.03,0.02
18,by,59,0.02,0.01
19,company,59,0.01,0.01
20,wings,9,0.01,0.0
21,wing,8,0.02,0.02
