,context,n_concepts,mean_tfidf,mean_diff
0,is,24,0.03,0.01
1,on,23,0.03,0.01
2,by,23,0.03,0.01
3,it,23,0.03,0.02
4,bands,22,0.01,0.01
5,which,22,0.02,0.01
6,then,22,0.02,0.01
7,he,20,0.03,0.02
8,america,20,0.01,0.0
9,from,20,0.02,0.01
10,with,19,0.04,0.02
11,decided,19,0.01,0.0
12,before,19,0.01,0.01
13,point,19,0.01,0.01
14,as,19,0.03,0.01
15,an,19,0.03,0.02
16,similar,19,0.01,0.01
17,mid,19,0.01,0.01
18,be,19,0.05,0.04
19,end,19,0.01,0.01
20,warm,4,0.02,0.01
