,context,n_concepts,mean_tfidf,mean_diff
0,show,28,0.01,0.0
1,both,27,0.01,0.01
2,in,27,0.06,0.03
3,to,27,0.04,0.02
4,until,27,0.01,0.0
5,1988,27,0.01,0.0
6,attracted,26,0.0,0.0
7,he,26,0.02,0.01
8,but,26,0.02,0.01
9,runs,26,0.01,0.01
10,angry,26,0.01,0.01
11,has,26,0.01,0.01
12,after,26,0.01,0.01
13,had,26,0.02,0.01
14,and,26,0.04,0.01
15,mike,26,0.01,0.01
16,only,25,0.01,0.01
17,left,25,0.01,0.01
18,few,25,0.01,0.0
19,saw,25,0.0,0.0
20,hot,1,0.03,0.0
