,context,n_concepts,mean_tfidf,mean_diff
0,it,12,0.02,0.01
1,with,12,0.02,0.01
2,most,12,0.01,0.01
3,traditional,12,0.02,0.01
4,modern,12,0.01,0.0
5,for,12,0.03,0.02
6,or,12,0.03,0.01
7,scott,11,0.0,0.0
8,chicken,11,0.13,0.12
9,not,11,0.01,0.01
10,typically,11,0.01,0.01
11,whole,11,0.01,0.01
12,including,11,0.01,0.01
13,that,11,0.02,0.01
14,as,11,0.02,0.01
15,spicy,10,0.06,0.05
16,2005,10,0.01,0.0
17,mid,10,0.01,0.01
18,often,10,0.02,0.01
19,this,10,0.01,0.01
20,round,1,0.01,0.0
