,context,n_concepts,mean_tfidf,mean_diff
0,includes,22,0.01,0.01
1,designed,22,0.02,0.01
2,such,21,0.01,0.01
3,type,20,0.02,0.02
4,are,20,0.02,0.01
5,have,20,0.02,0.01
6,or,19,0.03,0.02
7,modern,19,0.01,0.0
8,back,19,0.02,0.01
9,fitted,19,0.03,0.02
10,adds,19,0.01,0.0
11,it,19,0.02,0.01
12,onto,18,0.02,0.01
13,style,18,0.02,0.02
14,reference,18,0.0,0.0
15,replaced,18,0.01,0.01
16,most,18,0.01,0.01
17,top,18,0.02,0.01
18,included,18,0.01,0.0
19,applied,18,0.01,0.01
20,rolling,6,0.01,0.01
21,rolled,3,0.0,0.0
22,roll,3,0.01,0.01
23,rolls,1,0.02,0.02
