,context,n_concepts,mean_tfidf,mean_diff
0,of,51,0.02,0.02
1,two,49,0.01,0.01
2,with,49,0.02,0.01
3,one,48,0.02,0.01
4,he,47,0.02,0.01
5,10,47,0.01,0.01
6,and,46,0.03,0.02
7,where,46,0.01,0.0
8,time,46,0.01,0.01
9,well,45,0.01,0.01
10,although,45,0.01,0.0
11,they,45,0.01,0.01
12,only,45,0.01,0.01
13,year,45,0.01,0.01
14,had,45,0.01,0.01
15,to,45,0.02,0.02
16,as,45,0.02,0.01
17,the,45,0.03,0.02
18,four,44,0.01,0.01
19,12,44,0.01,0.01
20,egg,5,0.01,0.01
21,eggs,1,0.01,0.0
