,context,n_concepts,mean_tfidf,mean_diff,evidence
0,birds,64,0.03,0.03,-
1,bird,60,0.05,0.04,-
2,species,59,0.07,0.06,-
3,subspecies,55,0.03,0.03,-
4,common,55,0.03,0.03,-
5,breeding,52,0.02,0.02,-
6,black,50,0.08,0.07,-
7,grey,50,0.02,0.02,-
8,lesser,49,0.03,0.03,-
9,red,49,0.05,0.04,-
10,winged,48,0.03,0.03,-
11,feeds,47,0.02,0.02,-
12,white,47,0.05,0.04,-
13,owl,47,0.03,0.03,-
14,yellow,46,0.04,0.03,-
15,found,46,0.01,0.01,-
16,breeds,45,0.02,0.02,-
17,tailed,45,0.06,0.06,-
18,genus,44,0.04,0.03,-
19,resembles,44,0.01,0.01,-
20,wings,37,0.01,0.01,-
21,wing,28,0.02,0.01,-
