,context,n_concepts,mean_tfidf,mean_diff,evidence
0,birds,62,0.04,0.03,-
1,species,59,0.07,0.06,-
2,bird,58,0.05,0.05,-
3,common,55,0.03,0.03,-
4,subspecies,53,0.04,0.03,-
5,breeding,52,0.02,0.02,-
6,black,48,0.08,0.07,-
7,grey,48,0.02,0.02,-
8,red,47,0.05,0.04,-
9,yellow,46,0.04,0.03,-
10,lesser,46,0.03,0.03,-
11,winged,46,0.03,0.03,-
12,feeds,46,0.02,0.02,-
13,owl,45,0.03,0.03,-
14,tailed,45,0.06,0.06,-
15,white,45,0.05,0.04,-
16,breeds,45,0.02,0.02,-
17,genus,44,0.04,0.03,-
18,nests,43,0.03,0.03,-
19,found,42,0.02,0.01,-
20,wings,32,0.01,0.01,-
21,wing,22,0.02,0.01,-
