,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fruits,32,0.04,0.04,-
1,lemon,30,0.04,0.04,-
2,leaf,29,0.02,0.02,-
3,fresh,29,0.02,0.02,-
4,green,28,0.02,0.02,-
5,flavour,28,0.01,0.01,-
6,citrus,28,0.04,0.04,-
7,flavor,28,0.02,0.01,-
8,avocado,27,0.04,0.04,-
9,fruit,27,0.07,0.06,-
10,mango,27,0.09,0.09,-
11,plants,27,0.02,0.02,-
12,cultivars,27,0.02,0.02,-
13,grown,27,0.02,0.02,-
14,leaves,27,0.03,0.03,-
15,berries,26,0.01,0.01,-
16,tea,26,0.01,0.01,-
17,garden,26,0.02,0.02,-
18,bamboo,26,0.01,0.01,-
19,eaten,26,0.02,0.02,-
20,green,28,0.02,0.02,-
