,context,n_concepts,mean_tfidf,mean_diff,evidence
0,she,35,0.05,0.04,-
1,herself,34,0.03,0.02,-
2,beautiful,33,0.02,0.02,-
3,lovely,33,0.02,0.02,-
4,lady,32,0.02,0.02,-
5,sexy,29,0.03,0.02,-
6,ms,29,0.01,0.01,-
7,dress,29,0.03,0.03,-
8,anna,28,0.01,0.01,-
9,love,28,0.03,0.02,-
10,pink,28,0.02,0.01,-
11,dresses,28,0.05,0.04,-
12,becomes,27,0.01,0.01,-
13,beauty,27,0.02,0.02,-
14,hair,27,0.01,0.01,-
15,mrs,27,0.02,0.01,-
16,blond,27,0.03,0.02,-
17,or,27,0.03,0.01,-
18,actress,27,0.04,0.03,-
19,her,27,0.1,0.06,-
20,female,18,0.02,0.01,-
