,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
cabbage,0.0018886951327597764,0.0019851979073401537,0.0,0.0,0.0017990049330555652,0.0,0.0,0.0020192670933067945,0.0,0.0,0.0018496522573189353,0.0,0.0019050553372154094,0.0,0.0,0.0007631248440664423
strawberry,0.0005236325451505276,0.0005641725733817718,0.0,0.0,0.0005746280852894728,0.0,0.0,0.0,0.0,0.0,0.0005587718272736542,0.0006908658778815096,0.0,0.0,0.0,0.00019413806059846237
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrup,0.00036261950737505956,0.0,0.0,0.0,0.00034371581120532456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.708902123869227e-05
berry,0.00016553670399830484,0.0,0.0,0.0,0.00020212292649831101,0.0,0.0,0.0,0.0,0.0,0.0002000688593135624,0.00020321764350636693,0.0,0.0,0.0,5.139640888776968e-05
shallot,0.0035120631541678622,0.00362891965393799,0.0,0.0,0.0031570384117681474,0.0,0.0,0.003907754535405547,0.0,0.0,0.003236309402946851,0.0,0.0,0.0,0.0,0.001162805677215093
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.000663449874896519,0.0,0.0,0.0,0.0006259582272113791,0.0,0.0005918122799085472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001254146921344297
spice,0.0023554074485401294,0.0,0.0,0.0,0.002525370023248743,0.0,0.002746388259087236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005084777153917405
radish,0.004768850636304265,0.005436091345278226,0.0,0.0,0.004331528454909994,0.0,0.0,0.005874283683349369,0.0,0.0,0.0046157919024222395,0.0,0.0,0.0,0.0,0.0016684364014842728
jam,0.0008911216311321099,0.0,0.0,0.0,0.0010145271532686678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012704325229338518
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.005271943736031689,0.005772552350431561,0.0,0.0,0.00483564546505213,0.0,0.0,0.0,0.0,0.0,0.004986926686445713,0.005903367165133895,0.0,0.0,0.0,0.001784695693539666
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.001822726180257943,0.001913469969987663,0.0,0.0,0.001982005532286873,0.0,0.0,0.0,0.0,0.0,0.0019869542678708127,0.0021217009053741374,0.0,0.0,0.0,0.0006551237903851619
