,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pit,0.0,0.0,0.0,0.0,0.00045102621561389126,0.0,0.0,0.0,0.0,0.0,0.0004499839040232405,0.0,0.0,0.0,0.0,6.0067341309142115e-05
blackboard,0.0,0.0,0.0,0.0,0.00302176985362509,0.0,0.0,0.0,0.0,0.0,0.0030858266496381946,0.0,0.0,0.0,0.0,0.00040717310021755234
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shiitake,0.0,0.0,0.0,0.0,0.001456907630952464,0.0,0.0,0.0,0.0,0.0,0.0014081145242777135,0.0,0.0,0.0,0.0,0.0001910014770153452
night,0.0,0.0,0.0,0.0,0.0017642262681721776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018062639684586115,0.0,0.0,0.0002380326824420526
fear,0.0,0.0,0.0,0.0,0.0010039241843382883,0.0,0.0,0.0,0.0014523002560026179,0.0,0.0,0.0,0.0,0.0,0.0,0.00016374829602272707
eye,0.0,0.0,0.0,0.0,0.00854750214319814,0.0,0.0,0.0,0.0,0.0,0.00850230693500371,0.0,0.0,0.0,0.0,0.0011366539385467898
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0,0.0,0.0,0.0,0.00010839919291858019,0.0,0.0,0.0,0.0,0.0,0.0001118034712710816,0.0,0.0,0.00012704612407125616,0.0,2.3149919217394528e-05
lark,0.0,0.0,0.0,0.0,0.007863286581383943,0.0,0.0,0.0,0.0,0.007908702297051595,0.007911164597929817,0.0,0.0,0.006688317233756928,0.0,0.002024764714008152
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0,0.0,0.0,0.003673153037430862,0.005751404530011641,0.0,0.0,0.0,0.0,0.0036953791614743343,0.0,0.0,0.0046699767903180325,0.0,0.001185994234615658
