,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
coyote,0.0016701940823594572,0.0,0.0,0.001432334701312646,0.0,0.0017021946693942841,0.0,0.0,0.0,0.0,0.0011377431359341137,0.0,0.0,0.0,0.0,0.0,0.0011690444675468098,0.0,0.0003950839475859617
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.008892265570639183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048678444632801,0.0,0.0,0.0,0.0,0.0,0.006680044472027966,0.0,0.0012011660270722195
snake,0.002112678939155557,0.0023598089912529145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013696463884930866,0.0,0.0,0.0,0.0,0.0,0.001456364260304443,0.0,0.0004054721432892223
alligator,0.017540953409089316,0.021779327641935842,0.0,0.0,0.0,0.0,0.0,0.0,0.011770504828132414,0.0,0.0116020058450724,0.0,0.0,0.0,0.0,0.0,0.012044116286658631,0.0,0.004152050445049366
killer,0.004015412012736053,0.0,0.0,0.0,0.0,0.004401371760920337,0.0,0.0,0.0,0.0,0.0036391723012361896,0.0,0.0,0.0,0.0,0.0,0.0037498348899641966,0.0,0.0008780994980475987
hack,0.0022383739256978882,0.0,0.0015974550888570639,0.0,0.0,0.001996315362659973,0.0,0.0,0.0,0.0,0.0017292535625613504,0.0,0.0,0.0016050278936495595,0.0,0.0,0.0017446937756812634,0.0,0.000606173311617061
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.011699363060862413,0.0,0.0,0.0,0.0,0.01082562554236752,0.0,0.0,0.0,0.0,0.008437366638135447,0.0,0.0,0.0,0.0,0.0,0.008600604202467159,0.0,0.00219794219132403
torpedo,0.020893435009961207,0.0,0.0,0.024456050587071433,0.0,0.0,0.0,0.0,0.020260598002705982,0.024379354661452288,0.0189384684877981,0.0,0.021329470352769556,0.0,0.018428089847220285,0.0,0.020373693831908093,0.0,0.009392175598938162
