,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bill,0.0,0.0,0.0017578835453278933,0.0,0.0,0.0,0.0,0.0018212663048268348,0.0,0.0,0.0015352255729701987,0.0,0.0016861163505945734,0.0,0.0,0.0,0.0016114176216466488,0.0,0.00046732829974256387
clipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slice,0.0,0.0,0.005914560798215195,0.0,0.0,0.0,0.0,0.006123200051888969,0.005186588087564029,0.0,0.004830505740053882,0.0,0.0,0.0,0.0,0.0,0.004883651848570817,0.0,0.0014965836959051607
gutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffer,0.0,0.0,0.0036650600497228772,0.0,0.0,0.0,0.0,0.0,0.0038501207597844964,0.0,0.0034324868349031555,0.0,0.0,0.0,0.0,0.0,0.003580127073939749,0.0,0.0008070997065750154
pestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tap,0.0,0.0,0.0024537717184385677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001962212506924829,0.0,0.0,0.0,0.0,0.0,0.002048316970701727,0.0,0.0003591278442258402
file,0.0,0.0,0.005333415169484086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004475529349259379,0.0,0.005176173678516017,0.0,0.0,0.0,0.004621918681636767,0.0,0.0010892798266053472
opener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lister,0.0,0.0,0.0026473407548841753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002242602423870593,0.0,0.0,0.0,0.0,0.0,0.0023215283162167514,0.0,0.00040063730527619556
starter,0.0,0.0,0.00036661079717055647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035098915597357895,0.0,0.0,0.0,0.0003888889056056722,0.0,0.00035655377956640515,0.0,8.128014657312292e-05
plane,0.0,0.0,0.008368976525955443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006953849472172604,0.0,0.0,0.009534586977644685,0.0,0.0,0.00700145311052866,0.0096360658286783,0.0023052739952766498
gunman,0.0,0.0,0.0,0.044326210750786924,0.0,0.0,0.0,0.0,0.0,0.0,0.0353749228811861,0.0,0.0,0.0,0.0,0.0,0.03619093771331584,0.0,0.006438448408071604
henchman,0.0,0.0,0.0,0.016586720841278307,0.0,0.0,0.0,0.0,0.0,0.0,0.015407958048051229,0.0,0.0,0.0,0.0,0.0,0.015758067950403857,0.0,0.0026529303799851887
traitor,0.0,0.0,0.0,0.021325621261412284,0.0,0.0,0.0,0.0,0.0,0.0,0.01604096197930053,0.0,0.0,0.0,0.0,0.0,0.016803510480325003,0.0,0.0030094496511687673
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conspirator,0.0,0.0,0.0,0.02510084500794399,0.0,0.0,0.0,0.0,0.0,0.0,0.021719869875348147,0.0,0.0,0.0,0.0,0.0,0.02236234108055345,0.0,0.0038435031091025324
freebooter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.0,0.0,0.01492384658218613,0.0,0.0,0.0,0.0,0.0,0.0,0.008911023138050589,0.00846646084534726,0.0,0.0,0.0,0.0,0.009223225187746516,0.0,0.0023069197640739163
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thief,0.0,0.0,0.0,0.0028294791679295632,0.0,0.0,0.0,0.0,0.0,0.0,0.001990473507817764,0.0,0.0,0.0,0.0,0.0,0.0020376799415527088,0.0,0.000380979589850002
punk,0.0,0.0,0.0,0.003631174519701928,0.0,0.0,0.0,0.0,0.0,0.0,0.002267630976439793,0.0,0.0026768779036942616,0.0,0.0,0.0,0.0023249212550098017,0.0,0.0006055891474914325
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pentobarbital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dose,0.0,0.0,0.0,0.0,0.000904840963519855,0.0,0.0,0.0005471891979455477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005836745595382067,0.0,0.00011309470672242274
nitrazepam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0.0,0.0,0.0,0.0,0.00377695485223818,0.0,0.0,0.0,0.0018994505100662577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017621774806175444,0.0,0.00041325460238455456
aspirin,0.0,0.0,0.0,0.0,0.014762499364234849,0.0,0.0,0.0,0.006642861187287048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006796233243835621,0.0,0.0015667552108531953
cure,0.0,0.0,0.0,0.0,0.005464405320462031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003450001457357396,0.0,0.0004952448209899681
sulfonamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isoniazid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colchicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.014063136478295293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016757501006876938,0.0,0.001712257638065124
saxitoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,0.0,0.0,0.0,0.0,0.0,0.0,0.020280660369763663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01765010884930129,0.0,0.0021072649566147195
venom,0.0,0.0,0.0,0.0,0.0,0.0,0.00899875890110866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008410140828788706,0.0,0.0009671610961054092
bar,0.0,0.0,0.0,0.0,0.0,0.0,0.004055956613350913,0.004402096694909988,0.0,0.0,0.004151887117589715,0.0,0.0043661384079158655,0.0,0.0,0.0,0.004247669664093036,0.0,0.0011790971387699732
nursing,0.0,0.0,0.0,0.0,0.0,0.0,0.0005537371263439452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005056712137407312,0.0,5.885601889359314e-05
prelacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardinalate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019026798977622654,0.0,0.0,0.001238955677950832,0.0013316194308742317,0.0,0.0,0.0,0.0,0.0012623564730416968,0.0,0.00031864508220161254
club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011174692678736539,0.0,0.001281361657934143,0.0,0.0,0.0,0.0,0.0,0.001302280035977931,0.0,0.00020561727565476267
warhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011240926247911356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116433679282127,0.0,0.0012713496764513365
fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020054131490359728,0.0,0.0214854744956587,0.0,0.023835673949166435,0.0,0.0,0.0,0.02231309689953387,0.0,0.004871576490817707
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
