,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
coyote,0.0033403881647189144,0.0,0.0,0.0037666960083215595,0.0,0.0034043893387885682,0.0,0.0,0.0,0.0,0.002550975575649109,0.0,0.0,0.0,0.0,0.0,0.0026076060722482574,0.0,0.0008705586199848005
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.015561464748618572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011866718135791666,0.0,0.0,0.0,0.0,0.0,0.013037621224206918,0.0,0.0022481002282565086
snake,0.0015845092043666677,0.0012592676497120681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011516003834599958,0.0,0.0,0.0,0.0,0.0,0.0012181821545284204,0.0,0.0002896421884481751
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
killer,0.0037285968689691924,0.0,0.0,0.0,0.0,0.004086988063711741,0.0,0.0,0.0,0.0,0.003788349299238378,0.0,0.0,0.0,0.0,0.0,0.0038833668529470377,0.0,0.0008604056158259082
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0032498230724617816,0.0,0.0,0.0,0.0,0.0030071182062132006,0.0,0.0,0.0,0.0,0.0026274623488388178,0.0,0.0,0.0,0.0,0.0,0.002664449039595575,0.0,0.0006416029259505208
torpedo,0.012131671941267798,0.0,0.0,0.018671671488309595,0.0,0.0,0.0,0.0,0.013013171922509718,0.014155754319552941,0.012327861531177887,0.0,0.01238485375322103,0.0,0.013353959040764652,0.0,0.013193546249294833,0.0,0.006068471680338802
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
