,weapon,mammal,animal,no-cat,tool,all,relation,object,communication,measure,vehicle,mean
shaft,0.039185565341182574,0.0,0.0,0.0,0.0,0.03513979273150398,0.0,0.03612643837383313,0.040257970930200025,0.0,0.0,0.013700887943338154
ball,0.0,0.0,0.0,0.0,0.0,0.000942810751385662,0.0,0.0009732309652552133,0.0,0.0,0.0,0.00017418561060371593
blade,0.0005515145773723839,0.0,0.0,0.0005941697144808273,0.0,0.0004986055918914243,0.0,0.00048412862806320687,0.0,0.0,0.0,0.0001934925919825311
projectile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donkey,0.0,0.0,0.0011732966562129537,0.0,0.0,0.0006798283015520067,0.0,0.0006516504816192322,0.0,0.0,0.0,0.00022770685812583568
rail,0.0,0.0,0.003207629391730181,0.003261826336019796,0.0,0.003278299407732528,0.0,0.0034141224470134617,0.0,0.0,0.0,0.0011965343256814516
roller,0.0,0.0,0.002489051595169266,0.002539422315150362,0.0,0.002330160848320357,0.0,0.00235886082698624,0.0,0.0,0.0,0.000883408689602384
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windowpane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rifling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0,0.0,0.009624554528919626,0.0,0.00837385422015875,0.0,0.008493858910624477,0.0,0.012833539077464451,0.0,0.003575073339742482
wiffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake,0.0,0.0,0.0,0.02568716846629882,0.0,0.021915657314408088,0.0,0.021195492967128107,0.0,0.0,0.0,0.006254392613439547
saw,0.0,0.0,0.0,0.0,0.0,0.0003655741347612046,0.0,0.00037634617906409277,0.0,0.0,0.0,6.744730125684521e-05
hammer,0.0,0.0,0.0,0.0,0.0,0.0007582530177773347,0.0,0.000738457422459272,0.0,0.0,0.0,0.00013606458547605517
shovel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.007302309922291234,0.0,0.007075670013428397,0.0,0.0,0.0,0.001307089085065421
bucket,0.0,0.0,0.0,0.0,0.0,0.0014213702841872696,0.0,0.001457307998324917,0.0,0.001804793312339805,0.0,0.00042577014498654465
glass,0.0,0.0,0.0,0.0,0.0,0.000514274605771841,0.0,0.000516694808428716,0.0,0.0006826397320586118,0.0,0.00015578264965992444
marble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipe,0.0,0.0,0.0,0.0,0.0,0.0009380129973570653,0.0,0.0009574027318057411,0.0,0.0,0.0,0.0001723105208329824
skateboard,0.0,0.0,0.0,0.0,0.0,0.01134799636803473,0.0,0.011668385855425558,0.0,0.0,0.013824099598263001,0.0033491347110657533
nozzle,0.0,0.0,0.0,0.0,0.0,0.0021186967708459385,0.0,0.0022120553228794342,0.0,0.0,0.0,0.00039370473579321573
washer,0.0,0.0,0.0,0.0,0.0,0.004379467664574358,0.0,0.004565599245178499,0.0,0.0,0.0,0.0008131879008866235
cylinder,0.0,0.0,0.0,0.0,0.0,0.010713598722744322,0.0,0.010948898049700987,0.0,0.0,0.0,0.001969317888404119
bead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0,0.02211159385463473,0.0,0.02265509667976503,0.0,0.0,0.02589149250542011,0.00642347118543817
barrel,0.0,0.0,0.0,0.0,0.0,0.0026285730516321577,0.0,0.002718896880999138,0.0,0.00319774501042461,0.0,0.0007768377220959915
tyre,0.0,0.0,0.0,0.0,0.0,0.002040034424145081,0.0,0.002074857909625251,0.0,0.0,0.0,0.00037408112125184836
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tappet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.01000559316616652,0.0,0.010349780959810092,0.0,0.0,0.011526709245897094,0.0028983712156248824
millstone,0.0,0.0,0.0,0.0,0.0,0.01000106201981789,0.0,0.010568753751924813,0.0,0.0,0.0,0.0018699832519766093
spindle,0.0,0.0,0.0,0.0,0.0,0.009117914665284166,0.010020962078390256,0.009556335356112446,0.0,0.0,0.0,0.0026086556454351694
tub,0.0,0.0,0.0,0.0,0.0,0.00574305512926583,0.0,0.005919101900428635,0.0,0.007007863393372969,0.0,0.0016972745839152212
axle,0.0,0.0,0.0,0.0,0.0,0.42890574937252557,0.0,0.4377747087138457,0.0,0.0,0.0,0.07878913255330648
