,all,relation,weapon,mammal,bird,no-cat,animal,food,cutlery,object,communication,vehicle,measure,tool,mean,median
lettuce,0.003696489527369342,0.0,0.0,0.0,0.0,0.004408355658527505,0.0,0.004579117446040528,0.0,0.003696566919300491,0.0,0.0,0.0048872527805021064,0.0,0.001519127309409998,0.0
almond,0.03454578822236382,0.0,0.0,0.0,0.0,0.03490438854864886,0.0,0.0,0.0,0.03453410645128283,0.0,0.0,0.0,0.0,0.007427448801592536,0.0
cream,0.01621989161404002,0.0,0.0,0.0,0.0,0.0,0.0,0.017597604310630007,0.0,0.01621989161404002,0.0,0.0,0.0,0.0,0.0035740991099078604,0.0
blender,0.00231713471566821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002316744442838067,0.0,0.0,0.0,0.0,0.00033099136846473403,0.0
mussel,0.011490989594137925,0.0,0.0,0.0,0.0,0.0,0.013958362701024338,0.016022740242819123,0.0,0.011490989594137925,0.0,0.0,0.0,0.0,0.003783077295151379,0.0
spinach,0.035703901969505944,0.0,0.0,0.0,0.0,0.042093773725018824,0.0,0.042719640474293656,0.0,0.035703901969505944,0.0,0.0,0.0,0.0,0.011158658438451739,0.0
scallop,0.03865637510969042,0.0,0.0,0.0,0.0,0.0,0.0358973164728683,0.03482979667316543,0.0,0.03863482309401612,0.0,0.0,0.038670022312010326,0.0,0.01333488097583933,0.0
pea,0.014168022886507751,0.0,0.0,0.0,0.0,0.015143085921474213,0.0,0.01566231148257618,0.0,0.01416801011365052,0.0,0.0,0.0,0.0,0.004224387886014905,0.0
cabbage,0.019837810022013565,0.0,0.0,0.0,0.0,0.02105531105016187,0.0,0.021609809365614702,0.0,0.019832353531027,0.0,0.0,0.024317901480510096,0.0,0.007618084674951945,0.0
mustard,0.016051956815618443,0.0,0.0,0.0,0.0,0.01855957218034289,0.0,0.01956192058404321,0.0,0.016051956815618443,0.0,0.0,0.0,0.0,0.005016100456830213,0.0
cucumber,0.01264715514330822,0.0,0.0,0.0,0.0,0.014400305320779775,0.0,0.0145500662158876,0.0,0.01264715514330822,0.0,0.0,0.0,0.0,0.003874620130234558,0.0
bacon,0.014136452952295724,0.0,0.0,0.0,0.0,0.0,0.0,0.014602342687802751,0.0,0.0,0.0,0.0,0.0,0.0,0.002052771117149891,0.0
pastry,0.022046360424207403,0.0,0.0,0.0,0.0,0.0,0.0,0.02560076333376476,0.0,0.0,0.0,0.0,0.0,0.0,0.0034033659827122976,0.0
oregano,0.006255721450270538,0.0,0.0,0.0,0.0,0.007412311707991583,0.0,0.007435075675416957,0.0,0.006255721450270538,0.0,0.0,0.0,0.0,0.0019542021631392585,0.0
