,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,4,0.05,0.05,-
1,placed,4,0.01,0.01,-
2,belong,4,0.01,0.0,-
3,genus,4,0.01,0.0,-
4,habitats,4,0.0,0.0,-
5,considered,4,0.0,0.0,-
6,order,4,0.02,0.02,-
7,closer,3,0.0,0.0,-
8,crest,3,0.0,0.0,-
9,mexico,3,0.01,0.0,-
10,resident,3,0.0,0.0,-
11,authors,3,0.0,0.0,-
12,southwestern,3,0.0,0.0,-
13,natural,3,0.0,0.0,-
14,recent,3,0.0,0.0,-
15,brush,3,0.01,0.0,-
16,endemic,3,0.01,0.0,-
17,birds,3,0.01,0.01,-
18,family,3,0.03,0.02,-
19,passeriformesfamily,3,0.97,0.97,-
20,fly,1,0.03,0.02,-
21,flying,1,0.02,0.02,-
22,flies,1,0.02,0.02,-
23,flew,1,0.01,0.01,-
24,flown,1,0.0,0.0,-
