,context,n_concepts,mean_tfidf,mean_diff,evidence
0,syrup,49,0.03,0.03,i
1,sweet,48,0.03,0.02,p
2,banana,47,0.04,0.04,i
3,jam,47,0.03,0.03,i
4,berry,46,0.01,0.01,i
5,peach,45,0.06,0.06,i
6,fruit,45,0.07,0.06,i
7,strawberry,44,0.06,0.05,i
8,so,44,0.01,0,u
9,dessert,43,0.02,0.02,i
10,pure,43,0.01,0.01,u
11,apple,43,0.05,0.05,i
12,cherry,43,0.04,0.04,i
13,sugar,42,0.05,0.04,i
14,chocolate,42,0.06,0.05,i
15,or,42,0.02,0.01,u
16,grape,42,0.02,0.02,i
17,caramel,42,0.01,0.01,i
18,sweetness,42,0.01,0.01,p
19,plum,42,0.03,0.03,i
20,sweet,48,0.03,0.02,p
