,food,communication,cold,all,relation,object,measure,mean
lemonade,0.03175461770577571,0.0,0.0,0.027288633541871336,0.031088787063319426,0.0,0.0,0.01287600547299521
cream,0.02033670090961966,0.0,0.0,0.019726719979731237,0.0,0.01843503097890706,0.0,0.008356921695465423
pie,0.011183587185685113,0.0,0.0,0.009548903865800765,0.0,0.0,0.0,0.002961784435926554
berry,0.0061683711520793905,0.0,0.0,0.0038565503982127447,0.0,0.004116712951715296,0.0,0.002020233500286776
casserole,0.0012010758209574843,0.0,0.0,0.0010804290974143302,0.0,0.0010600687011403142,0.0,0.0004773676599303041
soup,0.010669014124331154,0.0,0.0,0.009711691508380372,0.011032654982975025,0.0,0.0,0.004487622945098079
juice,0.01701469082474937,0.0,0.0,0.020005874956386952,0.021683950105828628,0.0,0.0,0.008386359412423564
tea,0.22945625793262184,0.0,0.0,0.22173268286536796,0.24536973258606176,0.21632522741956148,0.0,0.13041198582908758
sundae,0.004133504381336699,0.0,0.0,0.00362376941283631,0.0,0.0,0.0,0.0011081819705961442
curd,0.0018282292672162075,0.0,0.0,0.0017264373637498913,0.0,0.0,0.0,0.0005078095187094426
water,0.0060346212784215475,0.0,0.0,0.0067189416994185205,0.007576118867408659,0.0064510540476916305,0.0,0.003825819413277194
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.008394110400904731,0.0,0.0,0.008901023176586772,0.0,0.00890771606785074,0.0,0.0037432642350488923
soda,0.019307660685809847,0.0,0.0,0.022393960954981154,0.023942698995718173,0.0,0.0,0.009377760090929882
drink,0.09157810125642772,0.0,0.0,0.1113913321281445,0.12734518188934033,0.0,0.12744919315778455,0.06539482977595674
rock,0.0017097990951172885,0.0022781238522475637,0.0,0.0020576031447061814,0.002145545365859905,0.0019581441404356,0.0,0.0014498879426237915
beer,0.024411244067025748,0.0,0.0,0.02533749380817153,0.029295766344373454,0.0,0.0,0.011292072031367248
milk,0.02484016924919099,0.0,0.0,0.024962203125898703,0.028321931926439396,0.0,0.0,0.01116061490021844
coffee,0.16519358534444561,0.0,0.0,0.17082132842336942,0.19944092483697212,0.17218784125287298,0.0,0.10109195426538002
tortilla,0.0018994903270038593,0.0,0.0,0.002119510982180373,0.0,0.0,0.0,0.0005741430441691761
cake,0.04756766009802759,0.0,0.0,0.048859013399804266,0.0,0.0468860692586254,0.0,0.02047324896520818
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quesadilla,0.02144398487487409,0.0,0.0,0.019682172849135954,0.0,0.0,0.0,0.005875165389144292
nose,0.0,0.0011785045629865724,0.0,0.000958736256776494,0.0,0.0009733146277920156,0.0012202732260909288,0.0006186898105208586
mud,0.0,0.0017315351274137282,0.0,0.0015342066523974555,0.0017972176777507854,0.0,0.0,0.0007232799225088527
can,0.0,0.00563260029641501,0.0,0.005394667733719319,0.0,0.005099360257607072,0.006288010454425979,0.0032020912488810544
problem,0.0,0.00131969464328842,0.0,0.0012407513769458066,0.0,0.0,0.0,0.0003657780028906038
idea,0.0,0.003150802603803714,0.0,0.003067073072564294,0.0,0.0,0.0,0.0008882679537668582
smoke,0.0,0.007460492510171549,0.0,0.005621905518910686,0.005778105978483332,0.0,0.0,0.0026943577153665096
foot,0.0,0.0008162820053627639,0.0,0.0006801896786013253,0.0,0.0007208613252273512,0.0007056008212176912,0.00041756197577273306
fire,0.0,0.0007651930834926007,0.0,0.000514661460087027,0.000602666383708734,0.0005121597088210612,0.0,0.0003420972337299175
vinyl,0.0,0.0,0.001949658216538816,0.0017964114241525073,0.0,0.0,0.0,0.0005351528058130462
