,food,communication,cold,all,relation,object,measure,mean
lemonade,0.041654673392996056,0.0,0.0,0.029848760294285744,0.02901620125909813,0.0,0.0,0.014359947849482845
cream,0.0021986556571155385,0.0,0.0,0.0017783582744752605,0.0,0.0016574646793545522,0.0,0.000804925515849336
pie,0.0008060585422033852,0.0,0.0,0.0005738873372212436,0.0,0.0,0.0,0.0001971351256320898
berry,0.0019703250972973965,0.0,0.0,0.0010271977682866711,0.0,0.001093557622640432,0.0,0.0005844400697463571
casserole,0.0050642104756443386,0.0,0.0,0.0037986148263090412,0.0,0.0037170553627898636,0.0,0.0017971258092490349
soup,0.004882069285005783,0.0,0.0,0.003705631173058098,0.003592027203759311,0.0,0.0,0.00173996109454617
juice,0.008664331260664262,0.0,0.0,0.008494859501969022,0.007856503661532113,0.0,0.0,0.003573670632023628
tea,0.021410308007393672,0.0,0.0,0.017252037137033636,0.016290106727705346,0.01678625715451214,0.0,0.010248387003806399
sundae,0.046475969457447634,0.0,0.0,0.033974906825860636,0.0,0.0,0.0,0.011492982326186896
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.011443225714838546,0.0,0.0,0.010623973566049402,0.010221747678249777,0.010173088430084114,0.0,0.00606600505560312
iceberg,0.00043424447034533253,0.0,0.0,0.00042967271328136147,0.0,0.0004104427315905779,0.0,0.00018205141645961026
ice,0.00855328122950759,0.0,0.0,0.007562853206315506,0.0,0.007548282315675369,0.0,0.003380630964499781
soda,0.0047712076330720865,0.0,0.0,0.004614421258184451,0.00420970531792847,0.0,0.0,0.0019421906013121438
drink,0.03940675288897815,0.0,0.0,0.03996852097176852,0.03898894335378481,0.0,0.03902078821350672,0.022483572204005455
rock,0.0010012762375259424,0.0,0.0,0.0010047502102593444,0.0008939772357749605,0.0009536240133530173,0.0,0.0005505182424161806
beer,0.04877281380734298,0.0,0.0,0.04221231968538662,0.041645942352295594,0.0,0.0,0.018947296549289314
milk,0.013551364989441577,0.0,0.0,0.011355311936800139,0.010993381471446871,0.0,0.0,0.0051285797710983695
