,all,relation,no-cat,food,object,communication,warm,measure,mean,median
lemonade,0.0032046446403027934,0.003957460476170808,0.0,0.004374134120531031,0.0,0.0,0.0,0.0,0.0014420299046255791,0.0
garter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telephone,0.000563873546446118,0.0,0.0,0.0,0.0005678004081542843,0.0,0.0,0.0,0.0001414592443250503,0.0
shoelace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0010640091948447856,0.0,0.0,0.0,0.0,0.0011817179685213682,0.0,0.0,0.00028071589542076923,0.0
idea,0.00785441355367008,0.0,0.0,0.0,0.0,0.007649323339784346,0.0,0.0,0.0019379671116818032,0.0
necklace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bag,0.0051234985431047155,0.0,0.0,0.0,0.005094219880274617,0.0,0.0,0.005456897130126,0.0019593269441881664,0.0
anklet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handkerchief,0.004075656481647594,0.0,0.0,0.0,0.003969830062536982,0.0,0.0,0.0,0.0010056858180230721,0.0
miniskirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuff,0.00011262453631988542,0.0,0.0,0.0,0.00011824506758312126,0.0,0.0,0.0,2.8858700487875835e-05,0.0
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fridge,0.017814419758081488,0.0,0.0,0.0,0.017665865627594406,0.0,0.0,0.0,0.004435035673209487,0.0
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moon,0.0002682250631191494,0.0,0.0,0.0,0.000260025600740011,0.0,0.0,0.000375193370563233,0.00011293050430279918,0.0
bandana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.007514746775554928,0.0,0.0,0.007926725448608495,0.00749671013069103,0.0,0.0,0.0,0.0028672727943568066,0.0
surfboard,0.00962850867957548,0.0,0.0,0.0,0.00964358899570977,0.0,0.0,0.0,0.0024090122094106562,0.0
strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forest,0.0008371030347211452,0.0,0.0,0.0,0.0008202409276561388,0.0,0.0,0.0,0.00020716799529716052,0.0
cummerbund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.014019666371857696,0.016118865775027504,0.0,0.01635483015984254,0.0,0.0,0.0,0.0,0.005811670288340967,0.0
can,0.00445830144042909,0.0,0.0,0.0,0.0044770119573807644,0.004399911205022591,0.0,0.004813123577908314,0.002268543522592595,0.002268543522592595
bikini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earring,0.002768982122164497,0.0,0.0,0.0,0.0027598271408656367,0.0,0.0,0.0,0.0006911011578787667,0.0
collar,0.001378414017787852,0.0,0.0,0.0,0.0014154335219964274,0.0,0.0,0.0,0.0003492309424730349,0.0
lace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,0.0017626580878693616,0.0,0.0,0.0017694363165447321,0.0,0.0,0.0,0.0,0.0004415118005517617,0.0
grosgrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0328248468928466,0.0,0.0,0.0,0.0,0.0,0.03632534103279516,0.0,0.00864377349070522,0.0
