,context,n_concepts,mean_tfidf,mean_diff,evidence
0,yellow,32,0.03,0.03,-
1,include,32,0.01,0.01,-
2,bird,31,0.04,0.04,-
3,birds,30,0.02,0.02,-
4,fish,28,0.04,0.04,-
5,nest,27,0.01,0.01,-
6,green,27,0.03,0.03,-
7,family,26,0.01,0.01,-
8,smaller,26,0.01,0.01,-
9,name,25,0.01,0.01,-
10,black,25,0.05,0.04,-
11,headed,24,0.02,0.02,-
12,hawk,24,0.02,0.02,-
13,pacific,24,0.02,0.02,-
14,reach,24,0.0,0.0,-
15,eggs,24,0.03,0.02,-
16,species,23,0.03,0.02,-
17,warbler,23,0.09,0.09,-
18,islands,22,0.01,0.01,-
19,waters,22,0.01,0.01,-
20,eggs,24,0.03,0.02,-
21,egg,16,0.03,0.02,-
