,reptile,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,object,vegetable,measure,animal,mean
market,0.0,0.0,0.0,0.0,0.0,0.0,0.0019241078738642082,0.0,0.0,0.0,0.0019359405082722797,0.0,0.0,0.0,0.0002757177415811777
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0013741815234760712,0.0016135690935517642,0.0,0.0,0.0014453402343064749,0.0,0.0,0.0018870868522100782,0.0004514412645388849
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.002480983859145041,0.0024711657284675367,0.0,0.0,0.0025310144210904137,0.0,0.0,0.002910999847882379,0.0007424402754703836
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.004100576437519182,0.0039980348468700464,0.0,0.0,0.003984007138589907,0.0,0.0,0.004695817755869073,0.0011984597270605865
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.001253566169895096,0.0,0.0,0.0,0.0012831237643059165,0.0,0.0,0.0,0.00018119213815721518
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.005181131936764503,0.0,0.0,0.005277749071900418,0.005381239427148759,0.0,0.0,0.0058803745921862495,0.0015514639305714234
parka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0012693678336281738,0.0015312913549266258,0.0,0.0,0.0013772412252781767,0.0,0.0,0.0016512137661239214,0.00041636529856834987
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0035314896529434277,0.0,0.0,0.0,0.0035593640993310752,0.0,0.0,0.0,0.000506489553733893
night,0.0,0.0,0.0,0.0,0.0,0.0,0.020363288087150624,0.0,0.0,0.0,0.0,0.0,0.020380590628657262,0.0,0.0029102770511291345
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0019102473109825018,0.0,0.0,0.0,0.001906880323270242,0.0,0.0,0.002310728988590977,0.0004377040444888372
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0017535914311194911,0.0,0.0,0.0,0.0018025979823720801,0.0,0.0,0.0,0.00025401352953511225
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0014998949178245207,0.0014429481680137597,0.0,0.0,0.001524190395906819,0.0,0.0,0.0018418094982127775,0.0004506316414255626
